TF,Target/Input,Targets/Database,Fraction/Input,Fraction/Database,Difference,P-value,Z-score,Combined Score,Genes
EGR1,64,1617,0.10094637223974763,0.07765451664025357,0.023291855599494066,0.021829259354147493,-0.9888474318045224,3.7818509948012253,HACL1;NUAK1;LRBA;FAAH;NRG4;SPINT1;PGM2L1;BBX;ACE;IKZF2;DDX4;FAM69B;RASGEF1B;FOXO1;UBE2E2;EML5;ARAP2;TUBB2B;TNIK;PENK;SH2D5;RRAS;EPAS1;PURA;PPM1E;ZFP521;HTR7;FCGRT;CDS1;4930506M07RIK;HOXA2;PARD6B;MARVELD2;D630045J12RIK;SERPINB8;MEIS1;6330416G13RIK;RIMS2;SCD1;ZBTB46;KLF3;MLLT4;D0H4S114;PNCK;HEG1;PHTF2;MAGI3;TCF7;COL1A2;HIVEP2;ACVR1;ALDH1A2;PPP1R9A;TMCC3;TMCC1;TULP4;PBX3;CELF4;SBK1;RTKN2;KCNQ3;WBSCR27;TCF7L2;PPP1R13B
RXRA,21,507,0.033123028391167195,0.024348076646016424,0.00877495174515077,0.10457372508337258,-1.3393522134137474,3.024073743869597,PHTF2;BC030307;DUSP18;PENK;PKP2;TREML4;BCMO1;JAG1;NRGN;C1QA;ZFP462;PDGFRB;CD163;ABTB2;FAT1;HOXC4;ITK;5730469M10RIK;RASGRP1;IRG1;SLC18A2
JUND,61,1764,0.09621451104100946,0.08471401815300389,0.011500492888005573,0.1704036311409516,-1.6696610112107033,2.954607673756086,CYP1B1;SPIC;MMP12;CSF1;MTMR7;ENAH;KLRA17;CCR5;CD55;SLC4A10;CXCR3;SULF2;IL1RN;PENK;FLNB;CSN1S2A;KNG1;CRISP1;AKAP12;ADAM19;HOXB3;ARHGAP6;NCR1;TNFRSF19;D10BWG1379E;9530008L14RIK;MECOM;KLRC1;INHBA;SERPINB8;IL17RB;POU2AF1;GM14446;IGJ;CXCL14;CXCL16;1600029D21RIK;KIF1B;CD209A;PRDM1;OLFM4;BLNK;ETV1;DNTT;HEG1;LEF1;TSLP;MPL;ADAP2;P2RY12;P2RY10;SLC7A7;TRIM9;VPREB3;TMCC3;DENND2C;SLAMF9;FAR2;0610012H03RIK;SOX6;TCF7L2
CACYBP,61,1656,0.09621451104100946,0.07952744561302406,0.016687065427985398,0.07607275913450001,-0.9531501567798272,2.455376796404926,PLAC1L;2510009E07RIK;NUAK1;MPZL1;IL18;CXXC5;CD40;ACE;NRP2;ANPEP;PTGDS;MSRB3;AK1;UBE2E2;CAMK1D;CAMK2D;IL2RB;TUBB2B;BC030307;1700061J05RIK;BCL2L11;PLTP;SYTL4;G0S2;GPR68;CCL17;NETO2;TEF;TNFRSF13C;HOXC4;9530008L14RIK;MEIS1;P2RY6;CXCL14;1600029D21RIK;SMOC1;LUZP1;C1QC;BLNK;ZBTB46;DST;CD79A;IRF4;RASSF8;TLE6;RASSF6;PDE2A;FGR;1110017F19RIK;RLTPR;PPP1R9A;DNASE1L3;RNF220;TMCC3;ABCG3;EDNRA;MYL10;BASP1;CELF4;PAQR8;RASGRP1
FOS,59,1708,0.09305993690851735,0.08202468424338472,0.011035252665132639,0.17731601734542146,-1.3588736810713815,2.350609221332397,SPIC;PKD2;BICD1;H2-Q7;GABBR1;TM4SF1;DMC1;DKKL1;CCR5;CIDEB;GJA1;PTGDS;CD59A;PRR5L;1700061J05RIK;HFE;IL1RN;SYTL1;CCL22;GPR56;RHOJ;KLRB1A;1700040L02RIK;B630019K06RIK;4930506M07RIK;CYP11A1;ENO3;KLRD1;SPNS2;CYP7B1;SERPINB8;CLIC5;SLC13A5;DNAJC6;NR4A3;TACSTD2;RAB40B;ZBTB46;DNTT;MS4A1;PNCK;ITGAX;TMEM158;MPL;ADAP2;ANGPT1;P2RY13;PDE2A;ARMC9;ALDH1A7;HTRA3;KIF13B;TMCC3;DENND2C;SLAMF6;6430548M08RIK;PPP1R16B;EVL;WBSCR27
SOX17,19,500,0.02996845425867508,0.024011909907314027,0.0059565443513610525,0.1994376964621773,-1.3597373365985266,2.192241130253897,TOX2;ADAMTS6;SSXB1;PDK4;PTGFRN;DMC1;ADIPOQ;PDLIM4;DNASE1L3;ANPEP;RPH3AL;CTXN1;EFHA2;0610012H03RIK;PPP1R16B;SBK1;SLC4A10;CXCR3;TCF7L2
REL,62,1752,0.09779179810725552,0.08413773231522835,0.013654065792027173,0.12713683630558328,-1.0040946822145556,2.070936567863585,TREML4;SPIB;SCML2;IL7R;IL18;SLC45A3;NRG4;SPINT1;NRGN;CD40;DDX4;PIH1D2;RASGEF1B;TRIM36;CD59A;CAMK1D;PLTP;IL1RN;PENK;AF251705;TNFRSF13C;CAPSL;IFIT3;HOXA2;HOXA3;HOXA9;HOXB3;HOXB5;D10BWG1379E;CEACAM10;BACH2;BCMO1;FSCN1;CXCL16;SKAP1;KLRA8;SMOC1;KLK8;PEX11A;PRKG1;ZBTB46;DIP2C;MLLT3;D0H4S114;MS4A7;MYCT1;MAGI3;MSR1;GPHN;ORM1;PDE2A;ASPH;ASPM;EID2;FGR;MORN4;PPP1R9A;6430548M08RIK;SOX6;SBF2;TCF7L2;MSI2
PRRX2,73,2205,0.11514195583596215,0.10589252269125486,0.00924943314470729,0.24571211602676002,-1.4385981607002742,2.0192087370902523,NUAK1;MMP12;SCML2;PKD2;FAAH;GPR174;BGN;AK1;PPIC;RFX3;TOX;ARAP2;PLS3;IL1RN;SYTL4;FLNB;G0S2;MREG;DAB2;GPR22;CFH;PDGFRB;CHRNB1;1300014I06RIK;APCDD1;ABTB2;2210010C04RIK;KLHL4;LOX;GPATCH2;TNFRSF19;SSXB1;BACH2;BCMO1;TTC8;1110032F04RIK;CLDN1;FKBP9;ICK;CD209A;RAB40B;EPHA3;ZFP949;RPS4Y2;FUT8;LY6I;EFHA2;ASB2;CTGF;GBP8;HNF4A;MSR1;TTC26;GPHN;TRP53INP2;P2RY10;RETNLA;ASPH;ASPM;ENKUR;ALDH1A7;RNF220;ABCG3;PBX1;CD300LD;KLRK1;SOX6;PAQR5;5730469M10RIK;WBSCR27;MSI2;PHXR4;PPP1R13B
SP1,85,2360,0.13406940063091483,0.11333621476252222,0.02073318586839261,0.06235773839193947,-0.6548023290942387,1.8169897035106943,RBPMS2;PKP2;NUAK1;SNAP47;SPIB;ENAH;MPZL1;LRBA;CXXC5;AUTS2;MYO1D;SLC45A3;LYPD6B;HIF3A;CTTNBP2NL;ACE;GPR155;IKZF2;FAM196A;BCL11B;FOXO1;UBE2E2;ARHGAP12;EML5;CAMK2D;PPAP2A;TOX;GPR114;ARAP2;G0S2;GPR68;RRAS;TEF;PDLIM4;RAPGEF3;AKAP12;1300014I06RIK;CDS1;PARD6B;MAFB;CYP11A1;TNFRSF19;ITSN1;SPNS2;D630045J12RIK;NR4A1;SMOC1;RECK;FARP1;KIF26B;RIMS2;ZBTB46;KLF3;BCL6;MLLT4;MLLT3;D0H4S114;PNCK;HEG1;LEF1;IGFBP5;PHTF2;MAGI3;TPPP3;TCF7;ZDHHC2;BATF3;PLEKHG1;CECR2;PDE5A;PTGFRN;HIVEP2;ACVR1;B4GALNT4;PBX3;BASP1;CELF4;PAQR8;RTKN2;EVL;KCNQ3;SBF2;TCF7L2;MSI2;PPP1R13B
EN1,34,957,0.05362776025236593,0.04595879556259905,0.007668964689766883,0.20608826331470068,-1.1181614794995425,1.7660809754118154,KLRD1;D630045J12RIK;ARHGEF10;FOXC1;IL17RB;MEIS1;P2RY6;NRG4;ZCCHC7;RAB3IL1;SPINT1;DMC1;ADIPOQ;C1QC;AGPAT9;MORC4;LRRN3;D0H4S114;EMP1;ITIH5;SULF2;BC030307;ADAMTS6;TGFBR3;PLEKHG1;P2RY12;TNFRSF13C;CHRNB1;RPH3AL;PSMA8;MAFB;2010002M12RIK;H2-AA;CPVL
