Kinase,Substrates in Input,Substrates in Database,Input Fraction,Database Fraction,Difference,P-value,Z-score,Combined Score,Substrates
MAPK1,26,312,0.5416666666666666,0.06882859033752482,0.4728380763291418,8.995268646077875E-18,-2.25920312084903,88.67334507261278,RARA;JUN;MAPK8;CREBBP;SMAD3;ETS1;ETS2;AR;TP53;PML;STAT3;CSNK2A1;RELA;EP300;HIF1A;FOS;HSP90AA1;ESR1;RB1;NCOA1;NCOA2;NR3C1;CEBPA;CEBPB;SP1;SP3
MAPK3,19,251,0.3958333333333333,0.05537171850871388,0.34046161482461945,5.726293038690968E-12,-2.223845964803472,57.566371531940504,JUN;MAPK8;ETS1;ETS2;AR;TP53;PML;STAT3;HIF1A;FOS;ESR1;NCOA1;NCOA2;NR3C1;NFATC1;CEBPA;CEBPB;SP1;SP3
CSNK2A1,25,521,0.5208333333333334,0.11493492168541805,0.4058984116479153,1.0448518665828128E-11,-2.158361397624821,54.5732202068398,JUN;SPI1;TP53;PML;CSNK2A1;RELA;HIF1A;SMARCA2;SMARCA4;HDAC3;HDAC2;HDAC1;ESR1;HMGA1;NR3C1;NFATC1;CREBBP;NFKB1;CALM1;HSP90AB1;FOS;HSP90AA1;MDM2;SP1;IRF1
MAPK14,18,461,0.375,0.10169865431281712,0.2733013456871829,6.002150184174952E-7,-2.1804968478848976,31.237749614347695,JUN;AR;TP53;PML;CSNK2A1;RELA;ESR1;RB1;NCOA1;NCOA2;NR3C1;NFATC1;RARA;SMAD3;ETS1;ETS2;STAT3;FOS
HIPK2,8,43,0.16666666666666666,0.009485991617030664,0.15718067504963598,3.590487891956665E-8,-1.7393567343700271,29.816736094877722,PML;SUMO1;CREBBP;TP53;UBE2I;HMGA1;EP300;MDM2
TAF1,7,42,0.14583333333333334,0.009265387160820648,0.1365679461725127,5.43155573288655E-7,-1.7694856641024925,25.526370247574736,TBP;FOS;RELA;TP53;RB1;JUN;MDM2
ALK,6,25,0.125,0.005515111405250386,0.11948488859474961,5.796130933235407E-7,-1.7118937493920268,24.58434356756221,HSP90AA1;RELA;TP53;STAT3;SFPQ;MDM2
CSNK2A2,13,267,0.2708333333333333,0.05890138980807412,0.21193194352525918,3.499849842990108E-6,-1.9354279776587069,24.314376196440378,JUN;CREBBP;TP53;CALM1;RELA;HDAC2;HDAC1;HSP90AB1;FOS;HSP90AA1;ESR1;HMGA1;SP1
PRKDC,12,227,0.25,0.050077211559673505,0.1999227884403265,4.018623840694201E-6,-1.8102759654660157,22.491902338786716,JUN;MAPK8;NFKB1;TP53;RELA;HMGB2;HSP90AB1;HSP90AA1;HMGA1;MDM2;NR3C1;SP1
GSK3B,19,600,0.3958333333333333,0.13236267372600927,0.2634706596073241,5.823978560207152E-6,-1.843108967629284,22.215963573220964,JUN;MAPK8;AR;TP53;SFPQ;CSNK2A1;RELA;ESR1;RB1;HMGA1;NCOA1;NR3C1;CEBPA;CEBPB;RARA;ETS1;NFKB1;STAT3;MDM2
CHUK,8,90,0.16666666666666666,0.01985440105890139,0.14681226560776528,6.1344972275436364E-6,-1.6282563149256148,19.541652388335866,HSP90AB1;NFKB1;HSP90AA1;RELA;ESR1;TP53;CREBBP;CALM1
MAP3K1,9,139,0.1875,0.030664019413192148,0.15683598058680787,1.7179327429310247E-5,-1.5956871601833547,17.50756643278016,MAPK8;ETS2;HSP90AB1;HSP90AA1;ESR1;UBE2I;UBC;STAT3;CALM1
MAP3K7,8,102,0.16666666666666666,0.022501654533421574,0.1441650121332451,1.453134192979E-5,-1.5462054244525396,17.223495683417468,RELA;MAPK8;SMAD3;HSP90AB1;FOS;HSP90AA1;STAT3;CALM1
CDK9,6,38,0.125,0.008382969335980588,0.1166170306640194,5.014302988910921E-6,-1.3519457078957728,16.498085671467692,NFKB1;AR;RELA;TP53;SMAD3;RB1
PRKACA,14,395,0.2916666666666667,0.0871387602029561,0.20452790646371058,4.647014902368861E-5,-1.60287951926845,15.991448753849275,TP53;RELA;EP300;ESR1;RB1;NR3C1;NFATC1;CEBPB;RARA;CREBBP;NFKB1;DAP3;FOS;HSP90AA1
MAPK9,9,162,0.1875,0.0357379219060225,0.15176207809397751,5.4459475014488825E-5,-1.4883303682898659,14.61250749498982,JUN;MAPK8;SMAD3;ETS2;FOS;TP53;RB1;HMGA1;STAT3
IKBKE,6,60,0.125,0.013236267372600927,0.11176373262739907,5.423596167631494E-5,-1.438845946127898,14.132584263631129,HSP90AB1;NFKB1;HSP90AA1;RELA;ESR1;CALM1
ATM,9,177,0.1875,0.039046988749172735,0.14845301125082727,1.0500098112679072E-4,-1.4794069432529853,13.553647164780566,EP300;HIF1A;JUN;HSP90AA1;TP53;HMGA1;MDM2;NR3C1;SP1
MAPK8,11,275,0.22916666666666666,0.06066622545775425,0.16850044120891242,1.308076847175845E-4,-1.4301323156400882,12.787931925332687,RARA;JUN;SMAD3;AR;TP53;STAT3;ESR1;NR3C1;NFATC1;CEBPB;SP1
AKT1,10,256,0.20833333333333334,0.05647474078976395,0.1518585925435694,3.3667745554713676E-4,-1.3642667575483733,10.909202496812027,RARA;CREBBP;SMAD3;AR;CSNK2A1;EP300;HSP90AB1;HSP90AA1;ESR1;MDM2
RPS6KA5,5,37,0.10416666666666667,0.00816236487977057,0.0960043017868961,6.492986482535799E-5,-1.074704552772411,10.362519326688494,CEBPB;RELA;CREBBP;STAT3;EP300
CDK2,16,606,0.3333333333333333,0.13368630046326935,0.19964703287006397,3.6482989597623407E-4,-1.2462022490953621,9.865035891772806,JUN;TP53;CSNK2A1;EP300;ESR1;RB1;HMGA1;NCOA1;CEBPA;CEBPB;CREBBP;SMAD3;ETS2;STAT3;FOS;MDM2
IKBKB,6,87,0.125,0.019192587690271344,0.10580741230972865,3.675314818687344E-4,-0.94888928764806,7.504482206599377,HSP90AB1;NFKB1;FOS;HSP90AA1;RELA;CALM1
CHEK2,5,41,0.10416666666666667,0.009044782704610633,0.09512188396205604,1.013940590875569E-4,-0.7611320486287735,6.999747884378113,PML;TP53;RB1;MDM2;KPNA2
MAP3K8,5,54,0.10416666666666667,0.011912640635340834,0.09225402603132583,3.344247975609257E-4,-0.866349414043919,6.933479716905,HSP90AB1;NFKB1;HSP90AA1;RELA;CALM1
PRKCD,7,146,0.14583333333333334,0.032208250606662256,0.11362508272667109,9.404866645710912E-4,-0.8530231301811775,5.94481466126053,EP300;MAPK8;CREBBP;DAP3;HSP90AA1;TP53;STAT3
