Term	P-value	Genes
HMDB07083	0.4217863792683453	PRKD3
HMDB07084	0.4217863792683453	PRKD3
HMDB07085	0.4217863792683453	PRKD3
HMDB07086	0.4217863792683453	PRKD3
HMDB07087	0.4217863792683453	PRKD3
HMDB07088	0.4217863792683453	PRKD3
HMDB07089	0.4217863792683453	PRKD3
HMDB07090	0.4217863792683453	PRKD3
HMDB07092	0.4217863792683453	PRKD3
HMDB07091	0.4217863792683453	PRKD3
HMDB07079	0.4217863792683453	PRKD3
HMDB07073	0.4217863792683453	PRKD3
HMDB07074	0.4217863792683453	PRKD3
HMDB07071	0.4217863792683453	PRKD3
HMDB07072	0.4217863792683453	PRKD3
HMDB07077	0.4217863792683453	PRKD3
HMDB07078	0.4217863792683453	PRKD3
HMDB07075	0.4217863792683453	PRKD3
HMDB07076	0.4217863792683453	PRKD3
HMDB07081	0.4217863792683453	PRKD3
HMDB07080	0.4217863792683453	PRKD3
HMDB07068	0.4217863792683453	PRKD3
HMDB07069	0.4217863792683453	PRKD3
HMDB07064	0.4217863792683453	PRKD3
HMDB07065	0.4217863792683453	PRKD3
HMDB07066	0.4217863792683453	PRKD3
HMDB07067	0.4217863792683453	PRKD3
HMDB07060	0.4217863792683453	PRKD3
HMDB07061	0.4217863792683453	PRKD3
HMDB07062	0.4217863792683453	PRKD3
HMDB07063	0.4217863792683453	PRKD3
HMDB07070	0.4217863792683453	PRKD3
HMDB07059	0.4217863792683453	PRKD3
HMDB07057	0.4217863792683453	PRKD3
HMDB07058	0.4217863792683453	PRKD3
HMDB07055	0.4217863792683453	PRKD3
HMDB07056	0.4217863792683453	PRKD3
HMDB07053	0.4217863792683453	PRKD3
HMDB07054	0.4217863792683453	PRKD3
HMDB07051	0.4217863792683453	PRKD3
HMDB07052	0.4217863792683453	PRKD3
HMDB07050	0.4217863792683453	PRKD3
HMDB07097	0.4217863792683453	PRKD3
HMDB07096	0.4217863792683453	PRKD3
HMDB07095	0.4217863792683453	PRKD3
HMDB07094	0.4217863792683453	PRKD3
HMDB07093	0.4217863792683453	PRKD3
HMDB07008	0.4217863792683453	PRKD3
HMDB07009	0.4217863792683453	PRKD3
HMDB07041	0.4217863792683453	PRKD3
HMDB07040	0.4217863792683453	PRKD3
HMDB07045	0.4217863792683453	PRKD3
HMDB07044	0.4217863792683453	PRKD3
HMDB07043	0.4217863792683453	PRKD3
HMDB07042	0.4217863792683453	PRKD3
HMDB07049	0.4217863792683453	PRKD3
HMDB07048	0.4217863792683453	PRKD3
HMDB07047	0.4217863792683453	PRKD3
HMDB07046	0.4217863792683453	PRKD3
HMDB07030	0.4217863792683453	PRKD3
HMDB07032	0.4217863792683453	PRKD3
HMDB07031	0.4217863792683453	PRKD3
HMDB07034	0.4217863792683453	PRKD3
HMDB07033	0.4217863792683453	PRKD3
HMDB07036	0.4217863792683453	PRKD3
HMDB07035	0.4217863792683453	PRKD3
HMDB07038	0.4217863792683453	PRKD3
HMDB07037	0.4217863792683453	PRKD3
HMDB07039	0.4217863792683453	PRKD3
HMDB07023	0.4217863792683453	PRKD3
HMDB07022	0.4217863792683453	PRKD3
HMDB07021	0.4217863792683453	PRKD3
HMDB07020	0.4217863792683453	PRKD3
HMDB07029	0.4217863792683453	PRKD3
HMDB07028	0.4217863792683453	PRKD3
HMDB07027	0.4217863792683453	PRKD3
HMDB07026	0.4217863792683453	PRKD3
HMDB07025	0.4217863792683453	PRKD3
HMDB07024	0.4217863792683453	PRKD3
HMDB07010	0.4217863792683453	PRKD3
HMDB07012	0.4217863792683453	PRKD3
HMDB07011	0.4217863792683453	PRKD3
HMDB07018	0.4217863792683453	PRKD3
HMDB07017	0.4217863792683453	PRKD3
HMDB07019	0.4217863792683453	PRKD3
HMDB07014	0.4217863792683453	PRKD3
HMDB07013	0.4217863792683453	PRKD3
HMDB07016	0.4217863792683453	PRKD3
HMDB07015	0.4217863792683453	PRKD3
HMDB07389	0.4217863792683453	PRKD3
HMDB07388	0.4217863792683453	PRKD3
HMDB07387	0.4217863792683453	PRKD3
HMDB07386	0.4217863792683453	PRKD3
HMDB07385	0.4217863792683453	PRKD3
HMDB07384	0.4217863792683453	PRKD3
HMDB07383	0.4217863792683453	PRKD3
HMDB07382	0.4217863792683453	PRKD3
HMDB07381	0.4217863792683453	PRKD3
HMDB07380	0.4217863792683453	PRKD3
HMDB07377	0.4217863792683453	PRKD3
HMDB07376	0.4217863792683453	PRKD3
HMDB07379	0.4217863792683453	PRKD3
HMDB07378	0.4217863792683453	PRKD3
HMDB07372	0.4217863792683453	PRKD3
HMDB07375	0.4217863792683453	PRKD3
HMDB07374	0.4217863792683453	PRKD3
HMDB07371	0.4217863792683453	PRKD3
HMDB07370	0.4217863792683453	PRKD3
HMDB07399	0.4217863792683453	PRKD3
HMDB07391	0.4217863792683453	PRKD3
HMDB07390	0.4217863792683453	PRKD3
HMDB07393	0.4217863792683453	PRKD3
HMDB07392	0.4217863792683453	PRKD3
HMDB07395	0.4217863792683453	PRKD3
HMDB07394	0.4217863792683453	PRKD3
HMDB07397	0.4217863792683453	PRKD3
HMDB07396	0.4217863792683453	PRKD3
HMDB07341	0.4217863792683453	PRKD3
HMDB07342	0.4217863792683453	PRKD3
HMDB07340	0.4217863792683453	PRKD3
HMDB07349	0.4217863792683453	PRKD3
HMDB07347	0.4217863792683453	PRKD3
HMDB07348	0.4217863792683453	PRKD3
HMDB07345	0.4217863792683453	PRKD3
HMDB07346	0.4217863792683453	PRKD3
HMDB07343	0.4217863792683453	PRKD3
HMDB07344	0.4217863792683453	PRKD3
HMDB07330	0.4217863792683453	PRKD3
HMDB07331	0.4217863792683453	PRKD3
HMDB07336	0.4217863792683453	PRKD3
HMDB07337	0.4217863792683453	PRKD3
HMDB07338	0.4217863792683453	PRKD3
HMDB07339	0.4217863792683453	PRKD3
HMDB07332	0.4217863792683453	PRKD3
HMDB07333	0.4217863792683453	PRKD3
HMDB07334	0.4217863792683453	PRKD3
HMDB07335	0.4217863792683453	PRKD3
HMDB07360	0.4217863792683453	PRKD3
HMDB07363	0.4217863792683453	PRKD3
HMDB07364	0.4217863792683453	PRKD3
HMDB07361	0.4217863792683453	PRKD3
HMDB07362	0.4217863792683453	PRKD3
HMDB07367	0.4217863792683453	PRKD3
HMDB07365	0.4217863792683453	PRKD3
HMDB07366	0.4217863792683453	PRKD3
HMDB07350	0.4217863792683453	PRKD3
HMDB07351	0.4217863792683453	PRKD3
HMDB07352	0.4217863792683453	PRKD3
HMDB07353	0.4217863792683453	PRKD3
HMDB07354	0.4217863792683453	PRKD3
HMDB07355	0.4217863792683453	PRKD3
HMDB07356	0.4217863792683453	PRKD3
HMDB07357	0.4217863792683453	PRKD3
HMDB07358	0.4217863792683453	PRKD3
HMDB07359	0.4217863792683453	PRKD3
HMDB07419	0.4217863792683453	PRKD3
HMDB07417	0.4217863792683453	PRKD3
HMDB07418	0.4217863792683453	PRKD3
HMDB07412	0.4217863792683453	PRKD3
HMDB07411	0.4217863792683453	PRKD3
HMDB07410	0.4217863792683453	PRKD3
HMDB07416	0.4217863792683453	PRKD3
HMDB07415	0.4217863792683453	PRKD3
HMDB07414	0.4217863792683453	PRKD3
HMDB07413	0.4217863792683453	PRKD3
HMDB07428	0.4217863792683453	PRKD3
HMDB07429	0.4217863792683453	PRKD3
HMDB07421	0.4217863792683453	PRKD3
HMDB07420	0.4217863792683453	PRKD3
HMDB07423	0.4217863792683453	PRKD3
HMDB07422	0.4217863792683453	PRKD3
HMDB07425	0.4217863792683453	PRKD3
HMDB07424	0.4217863792683453	PRKD3
HMDB07427	0.4217863792683453	PRKD3
HMDB07426	0.4217863792683453	PRKD3
HMDB07439	0.4217863792683453	PRKD3
HMDB07438	0.4217863792683453	PRKD3
HMDB07437	0.4217863792683453	PRKD3
HMDB07436	0.4217863792683453	PRKD3
HMDB07435	0.4217863792683453	PRKD3
HMDB07434	0.4217863792683453	PRKD3
HMDB07433	0.4217863792683453	PRKD3
HMDB07432	0.4217863792683453	PRKD3
HMDB07431	0.4217863792683453	PRKD3
HMDB07430	0.4217863792683453	PRKD3
HMDB07447	0.4217863792683453	PRKD3
HMDB07446	0.4217863792683453	PRKD3
HMDB07449	0.4217863792683453	PRKD3
HMDB07448	0.4217863792683453	PRKD3
HMDB07443	0.4217863792683453	PRKD3
HMDB07442	0.4217863792683453	PRKD3
HMDB07445	0.4217863792683453	PRKD3
HMDB07444	0.4217863792683453	PRKD3
HMDB07441	0.4217863792683453	PRKD3
HMDB07440	0.4217863792683453	PRKD3
HMDB07407	0.4217863792683453	PRKD3
HMDB07406	0.4217863792683453	PRKD3
HMDB07409	0.4217863792683453	PRKD3
HMDB07408	0.4217863792683453	PRKD3
HMDB07403	0.4217863792683453	PRKD3
HMDB07404	0.4217863792683453	PRKD3
HMDB07405	0.4217863792683453	PRKD3
HMDB07400	0.4217863792683453	PRKD3
HMDB07401	0.4217863792683453	PRKD3
HMDB07299	0.4217863792683453	PRKD3
HMDB07297	0.4217863792683453	PRKD3
HMDB07298	0.4217863792683453	PRKD3
HMDB07295	0.4217863792683453	PRKD3
HMDB07296	0.4217863792683453	PRKD3
HMDB07293	0.4217863792683453	PRKD3
HMDB07294	0.4217863792683453	PRKD3
HMDB07291	0.4217863792683453	PRKD3
HMDB07292	0.4217863792683453	PRKD3
HMDB07283	0.4217863792683453	PRKD3
HMDB07282	0.4217863792683453	PRKD3
HMDB07281	0.4217863792683453	PRKD3
HMDB07280	0.4217863792683453	PRKD3
HMDB07287	0.4217863792683453	PRKD3
HMDB07286	0.4217863792683453	PRKD3
HMDB07285	0.4217863792683453	PRKD3
HMDB07284	0.4217863792683453	PRKD3
HMDB07289	0.4217863792683453	PRKD3
HMDB07288	0.4217863792683453	PRKD3
HMDB07290	0.4217863792683453	PRKD3
HMDB07270	0.4217863792683453	PRKD3
HMDB07272	0.4217863792683453	PRKD3
HMDB07271	0.4217863792683453	PRKD3
HMDB07274	0.4217863792683453	PRKD3
HMDB07273	0.4217863792683453	PRKD3
HMDB07276	0.4217863792683453	PRKD3
HMDB07275	0.4217863792683453	PRKD3
HMDB07278	0.4217863792683453	PRKD3
HMDB07277	0.4217863792683453	PRKD3
HMDB07279	0.4217863792683453	PRKD3
HMDB07265	0.4217863792683453	PRKD3
HMDB07264	0.4217863792683453	PRKD3
HMDB07263	0.4217863792683453	PRKD3
HMDB07262	0.4217863792683453	PRKD3
HMDB07261	0.4217863792683453	PRKD3
HMDB07260	0.4217863792683453	PRKD3
HMDB07269	0.4217863792683453	PRKD3
HMDB07268	0.4217863792683453	PRKD3
HMDB07267	0.4217863792683453	PRKD3
HMDB07266	0.4217863792683453	PRKD3
HMDB07251	0.4217863792683453	PRKD3
HMDB07254	0.4217863792683453	PRKD3
HMDB07250	0.4217863792683453	PRKD3
HMDB07259	0.4217863792683453	PRKD3
HMDB07256	0.4217863792683453	PRKD3
HMDB07255	0.4217863792683453	PRKD3
HMDB07258	0.4217863792683453	PRKD3
HMDB07246	0.4217863792683453	PRKD3
HMDB07247	0.4217863792683453	PRKD3
HMDB07244	0.4217863792683453	PRKD3
HMDB07245	0.4217863792683453	PRKD3
HMDB07249	0.4217863792683453	PRKD3
HMDB07242	0.4217863792683453	PRKD3
HMDB07243	0.4217863792683453	PRKD3
HMDB07240	0.4217863792683453	PRKD3
HMDB07241	0.4217863792683453	PRKD3
HMDB07233	0.4217863792683453	PRKD3
HMDB07234	0.4217863792683453	PRKD3
HMDB07235	0.4217863792683453	PRKD3
HMDB07236	0.4217863792683453	PRKD3
HMDB07237	0.4217863792683453	PRKD3
HMDB07238	0.4217863792683453	PRKD3
HMDB07239	0.4217863792683453	PRKD3
HMDB07230	0.4217863792683453	PRKD3
HMDB07231	0.4217863792683453	PRKD3
HMDB07232	0.4217863792683453	PRKD3
HMDB07229	0.4217863792683453	PRKD3
HMDB07226	0.4217863792683453	PRKD3
HMDB07227	0.4217863792683453	PRKD3
HMDB07225	0.4217863792683453	PRKD3
HMDB07222	0.4217863792683453	PRKD3
HMDB07220	0.4217863792683453	PRKD3
HMDB07221	0.4217863792683453	PRKD3
HMDB07215	0.4217863792683453	PRKD3
HMDB07216	0.4217863792683453	PRKD3
HMDB07217	0.4217863792683453	PRKD3
HMDB07211	0.4217863792683453	PRKD3
HMDB07212	0.4217863792683453	PRKD3
HMDB07213	0.4217863792683453	PRKD3
HMDB07210	0.4217863792683453	PRKD3
HMDB07318	0.4217863792683453	PRKD3
HMDB07319	0.4217863792683453	PRKD3
HMDB07317	0.4217863792683453	PRKD3
HMDB07316	0.4217863792683453	PRKD3
HMDB07315	0.4217863792683453	PRKD3
HMDB07314	0.4217863792683453	PRKD3
HMDB07313	0.4217863792683453	PRKD3
HMDB07312	0.4217863792683453	PRKD3
HMDB07311	0.4217863792683453	PRKD3
HMDB07310	0.4217863792683453	PRKD3
HMDB07329	0.4217863792683453	PRKD3
HMDB07320	0.4217863792683453	PRKD3
HMDB07326	0.4217863792683453	PRKD3
HMDB07325	0.4217863792683453	PRKD3
HMDB07328	0.4217863792683453	PRKD3
HMDB07327	0.4217863792683453	PRKD3
HMDB07322	0.4217863792683453	PRKD3
HMDB07321	0.4217863792683453	PRKD3
HMDB07324	0.4217863792683453	PRKD3
HMDB07323	0.4217863792683453	PRKD3
HMDB07307	0.4217863792683453	PRKD3
HMDB07308	0.4217863792683453	PRKD3
HMDB07309	0.4217863792683453	PRKD3
HMDB07300	0.4217863792683453	PRKD3
HMDB07302	0.4217863792683453	PRKD3
HMDB07301	0.4217863792683453	PRKD3
HMDB07304	0.4217863792683453	PRKD3
HMDB07303	0.4217863792683453	PRKD3
HMDB07306	0.4217863792683453	PRKD3
HMDB07305	0.4217863792683453	PRKD3
HMDB07749	0.4217863792683453	PRKD3
HMDB07747	0.4217863792683453	PRKD3
HMDB07748	0.4217863792683453	PRKD3
HMDB07746	0.4217863792683453	PRKD3
HMDB07745	0.4217863792683453	PRKD3
HMDB07744	0.4217863792683453	PRKD3
HMDB07743	0.4217863792683453	PRKD3
HMDB07742	0.4217863792683453	PRKD3
HMDB07741	0.4217863792683453	PRKD3
HMDB07740	0.4217863792683453	PRKD3
HMDB07736	0.4217863792683453	PRKD3
HMDB07737	0.4217863792683453	PRKD3
HMDB07738	0.4217863792683453	PRKD3
HMDB07739	0.4217863792683453	PRKD3
HMDB07733	0.4217863792683453	PRKD3
HMDB07732	0.4217863792683453	PRKD3
HMDB07735	0.4217863792683453	PRKD3
HMDB07734	0.4217863792683453	PRKD3
HMDB07731	0.4217863792683453	PRKD3
HMDB07730	0.4217863792683453	PRKD3
