Kinase,Substrates in Input,Substrates in Database,Input Fraction,Database Fraction,Difference,P-value,Z-score,Combined Score,Substrates
CSNK1E,12,148,0.0670391061452514,0.03264945951908228,0.03438964662616911,0.017814374411600723,0.11187205381421844,-0.450592619594699,CTNNB1;PSIP1;CHEK2;NPM1;HDAC2;HDAC1;DNMT1;NFKB2;HSP90AA1;ESR1;TP53;YWHAQ
RPS6KA1,8,75,0.0446927374301676,0.01654533421575116,0.02814740321441644,0.012851043489913658,0.11413439146084682,-0.49697883507206364,MITF;FOS;ESR1;SRF;ETV1;CEBPB;CREBBP;GSK3B
PDGFRB,1,62,0.00558659217877095,0.013677476285020957,-0.008090884106250008,0.9142577694285864,9.67021800513697,-0.866864682148481,STAT1
MAP3K7,9,102,0.05027932960893855,0.022501654533421574,0.027777675075516976,0.024367236718615067,0.3980592518177351,-1.4785973827700345,TUBA4A;MAPK8;HSPA1A;TRAF6;E2F4;FOS;HSP90AA1;NRIP1;HIPK2
EIF2AK2,6,42,0.0335195530726257,0.009265387160820648,0.02425416591180505,0.00899901376393662,0.41311779229680773,-1.94604931667589,HSPA1A;NPM1;CDK1;HSP90AA1;TP53;STAT1
PRKCQ,1,45,0.00558659217877095,0.009927200529450696,-0.004340608350679746,0.8330800368878347,11.366441758525514,-2.0758027769506886,VAV1
BMPR1B,2,77,0.0111731843575419,0.01698654312817119,-0.005813358770629289,0.8092413170208533,9.954660064974457,-2.1069845937332716,TRAF6;UBXN1
PIM1,6,27,0.0335195530726257,0.005956320317670417,0.02756323275495528,0.0013004165101068784,0.3430077738785659,-2.2793108989621986,SND1;NFATC1;HSP90AA1;SKP2;CDKN1A;MDM2
PTK2B,2,70,0.0111731843575419,0.01544231193470108,-0.004269127577159181,0.7659214358537082,8.932640028180305,-2.382117841751708,EWSR1;VAV1
PRKCE,2,70,0.0111731843575419,0.01544231193470108,-0.004269127577159181,0.7659214358537082,8.993121141309889,-2.398246683641728,NRIP1;GRIN1
MAPK9,12,162,0.0670391061452514,0.0357379219060225,0.031301184239228896,0.031903041170826624,0.7141244991462008,-2.460197418881922,CTNNB1;RXRA;JUN;MAPK8;ATF2;KAT5;ETS2;DNMT1;FOS;TP53;RB1;HMGA1
CASK,1,42,0.00558659217877095,0.009265387160820648,-0.0036787949820496985,0.8123053008051887,12.311326636887637,-2.5592665564621644,EPB41
MAP3K14,11,145,0.061452513966480445,0.03198764615045224,0.029464867816028202,0.03403298492535911,0.8055535261400205,-2.7231133428760774,RARA;TUBA4A;HSPA1A;NPM1;TRAF6;SSB;HNRNPA1;NFKB2;HSP90AA1;NCL;SFPQ
RET,1,40,0.00558659217877095,0.008824178248400618,-0.003237586069629668,0.7970467768737113,12.50026348173924,-2.8355836528274563,MAPK8
ERBB2,10,125,0.055865921787709494,0.02757555702625193,0.028290364761457562,0.03163216611584903,0.82252674148836,-2.840662529857449,CTNNB1;EPB41;VAV1;NCOR1;CDK1;HSP90AA1;ESR1;NCOA3;ETV1;STAT1
NTRK1,1,39,0.00558659217877095,0.008603573792190603,-0.003016981613419653,0.7889611710557223,11.988535796167753,-2.8417406125304807,ABL1
INSR,6,175,0.0335195530726257,0.0386057798367527,-0.005086226764127004,0.6928010341780814,7.82560405940497,-2.8720939541073407,SYNCRIP;PHB;VAV1;ABL1;HMGA1;PPP1R8
RPS6KB1,6,48,0.0335195530726257,0.010589013898080741,0.022930539174544955,0.01571172980056879,0.7775669009703003,-3.229505718813705,FOS;CDK1;ESR1;MDM2;CREM;GSK3B
ERBB3,2,61,0.0111731843575419,0.013456871828810942,-0.0022836874712690424,0.6979940400916114,9.027099681525263,-3.245645980527623,PA2G4;VAV1
TGFBR1,6,166,0.0335195530726257,0.03662033973086257,-0.003100786658236869,0.6442586500523595,7.466178284594101,-3.282542636064301,CTNNB1;TRAF6;ASH2L;PML;UBXN1;STAT1
MTOR,3,86,0.01675977653631285,0.018971983234061327,-0.0022122066977484783,0.6642992609518021,8.521347844409375,-3.485423312559375,JUN;YWHAQ;DNMT1
BMPR2,1,38,0.00558659217877095,0.008382969335980588,-0.0027963771572096377,0.780555307599216,14.316349034355614,-3.5468708889224807,TOPBP1
TRIM24,8,95,0.0446927374301676,0.020957423339951466,0.023735314090216134,0.04097995858068149,1.1920834197890073,-3.808315697971955,RARA;RXRA;ESR1;PML;HSPA1A;SUMO1;TRIM28;MNAT1
MAPK11,5,27,0.027932960893854747,0.005956320317670417,0.021976640576184328,0.0065402657751069656,0.7995800146638111,-4.02170954797036,E2F1;ATF2;EWSR1;HDAC3;JUN
JAK3,1,35,0.00558659217877095,0.00772115596735054,-0.0021345637885795904,0.7532875757466482,14.271373043361137,-4.043197256593657,STAT1
ADRBK1,2,56,0.0111731843575419,0.012353849547760865,-0.0011806651902189647,0.6536867555469184,9.617662597057404,-4.08872813653525,PRKCA;MDM2
MAP3K1,9,139,0.05027932960893855,0.030664019413192148,0.019615310195746402,0.10872960668984008,1.8460460349790706,-4.096175211887983,TUBA4A;MAPK8;HSPA1A;ETS2;HSP90AA1;ESR1;UBE2I;NCL;UBC
CDK5,7,103,0.03910614525139665,0.02272225898963159,0.016383886261765058,0.12359738730237872,1.976774073601565,-4.132892699790195,CTNNB1;ATM;ABL1;PPARG;TP53;PURA;APEX1
PRKCZ,8,104,0.0446927374301676,0.022942863445841608,0.02174987398432599,0.061681414620678936,1.497872957661757,-4.172733466434078,TRAF6;CREBBP;HNRNPA1;PRKCA;NCL;NCOA3;SP1;GSK3B
PRKCD,9,146,0.05027932960893855,0.032208250606662256,0.018071079002276294,0.1337572640385753,2.0743303791560264,-4.17298971664006,PA2G4;EP300;MAPK8;CREBBP;HSP90AA1;TP53;TRIM28;STAT1;GSK3B
RPS6KA3,19,365,0.10614525139664804,0.08052062651665563,0.02562462487999241,0.13879738682077813,2.1137666583359254,-4.174139693536345,RYR1;CREBBP;TP53;CTDP1;ETV1;TRIM28;PPP1R8;GSK3B;PRKAB1;TRRAP;SRF;GRIN1;CDKN1A;E2F1;FOS;CDK1;ESR1;MDM2;CEBPB
ITK,1,31,0.00558659217877095,0.006838738142510479,-0.0012521459637395288,0.7116230558292096,12.64459803201136,-4.301779798279176,KPNA2
CAMK2A,7,105,0.03910614525139665,0.02316346790205162,0.015942677349345027,0.13235510144620885,2.1397992814923827,-4.327245058325754,RYR1;SRF;GRIN1;ETS1;ETS2;CREM;CEBPB
HCK,3,77,0.01675977653631285,0.01698654312817119,-2.267665918583399E-4,0.5918875311335955,8.29019129803436,-4.347696677371002,CSF3R;VAV1;ABL1
MAP3K3,8,193,0.0446927374301676,0.04257666004853298,0.0021160773816346207,0.4988398990214461,6.499430898987659,-4.520159716590623,TUBA4A;HSPA1A;YWHAQ;TRAF6;BRCA1;HSP90AA1;UBC;MCC
EGFR,10,247,0.055865921787709494,0.054489300683873816,0.0013766211038356777,0.5166284670506965,6.906825445542355,-4.56148367479479,XRCC6;CTNNB1;TUBA4A;STAT1;EPB41;VAV1;FOS;HSP90AA1;ESR1;CEBPB
NTRK2,1,31,0.00558659217877095,0.006838738142510479,-0.0012521459637395288,0.7116230558292096,13.570026078962725,-4.616616827266415,TRAF6
LYN,6,144,0.0335195530726257,0.03176704169424222,0.0017525113783834756,0.5088150862258771,6.882429453297548,-4.650255353755024,CSNK2A1;CSF3R;ABL1;CDK1;CDK2;PPP1R8
PTK2,4,95,0.0223463687150838,0.020957423339951466,0.001388945375132334,0.5231246424328077,7.198462348850081,-4.664139454273709,TP53;PIAS1;SUMO1;STAT1
PDK1,1,31,0.00558659217877095,0.006838738142510479,-0.0012521459637395288,0.7116230558292096,13.715277612053873,-4.666032404506492,YWHAQ
ZAP70,2,51,0.0111731843575419,0.011250827266710787,-7.764290916888704E-5,0.6043885442649918,9.356676696606899,-4.711442295341246,TUBA4A;VAV1
FYN,9,216,0.05027932960893855,0.04765056254136334,0.0026287670675752134,0.4865827800737126,6.568229910047132,-4.731412839307451,CTNNB1;TUBA4A;STAT1;CSNK2A1;VAV1;ABL1;CDK1;HSP90AA1;CDK2
JAK2,4,92,0.0223463687150838,0.020295609971321422,0.002050758743762378,0.4986881664120538,6.840663403158495,-4.759557760649939,CSF3R;STAT1;VAV1;BRCA1
PDGFRA,1,31,0.00558659217877095,0.006838738142510479,-0.0012521459637395288,0.7116230558292096,14.045719340305189,-4.778450968347058,STAT1
FGFR1,2,50,0.0111731843575419,0.011030222810500772,1.4296154704112815E-4,0.5939187256625788,9.367389547911875,-4.880529805198176,SYNCRIP;CREBBP
PAK1,7,92,0.03910614525139665,0.020295609971321422,0.018810535280075227,0.08112238829685495,1.9713034742789564,-4.951512769013937,CSNK2A2;CSNK2A1;PCBP1;ESR1;SPEN;PA2G4;ABL1
