ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols1
11269	1435761_at	11.1150958016417	10.5396448843631	9.48958955928383	1.73212835613147e-08	2.50026066175439e-06	9.79270189817822	NA
2923	1419764_at	10.0669193368263	12.1996664861561	12.0846279297439	3.73525942601005e-10	1.9276217508954e-07	13.5000789540622	Chi3l3
5946	1425451_s_at	9.87149619546135	11.6067780671909	9.89812340779431	9.03418122987611e-09	1.64881887314784e-06	10.4286530857959	NA
14556	1442339_at	9.77958699190985	9.83442816505609	7.5256332211413	5.25545540652441e-07	2.74637016601638e-05	6.42621351927941	Stfa2l1
14000	1440865_at	9.31396009358674	11.0171390402845	9.14307063627427	3.0545324737084e-08	3.75983627823113e-06	9.23658441713526	Ifitm6
11875	1436778_at	8.62069678127909	10.0833231740127	9.09504850015894	3.30808145758274e-08	3.98208441794709e-06	9.1582793897391	Cybb
2892	1419709_at	8.60690173084821	8.93663586499401	5.62890508911426	2.29792450737277e-05	0.000401162604806117	2.66544597629047	Stfa3
12481	1437726_x_at	8.54428533129611	9.10471347204009	12.2404820322948	3.02865927812831e-10	1.75648258029302e-07	13.6994253089332	C1qb
11416	1435998_at	-8.45778743621566	6.29797709141551	-6.13029356704766	8.08248781391744e-06	0.000187824004740756	3.70652973026008	Ccnb1ip1
7296	1427747_a_at	8.2919627146702	11.8091073043186	6.277921445229	5.97858304973806e-06	0.000153857980701716	4.00697802732978	Lcn2
6998	1427102_at	8.1013101168033	9.48985643698051	6.74265227267488	2.35830140559295e-06	7.94973518729673e-05	4.93356374680976	Slfn4
2886	1419691_at	8.09662367016078	12.3590184188202	6.14673242449391	7.81452092529936e-06	0.000184006567039992	3.74012743630436	Camp
4948	1423954_at	8.07257873233541	10.0238156267859	9.34026153625024	2.20797136888124e-08	2.99512646291974e-06	9.55495837543906	C3
1357	1417290_at	8.03821909580775	9.15336527223515	12.731140067338	1.58655711435117e-10	1.32318863336887e-07	14.3115188397222	Lrg1
4190	1422953_at	7.92409371610811	9.96603430991413	7.04793241716616	1.30047463294744e-06	5.3243795972201e-05	5.52588618245165	Fpr2
17394	1450009_at	7.90650210127251	11.4224775963264	5.04947020546562	7.97739900765324e-05	0.00100795672719902	1.42703751741149	Ltf
6861	1426906_at	7.90037190473214	5.82123684740638	3.55785439638049	0.00220534632953904	0.0112048710849639	-1.84398418670009	NA
1426	1417381_at	7.89932059867808	7.8796202599263	14.033958633669	3.12957920811213e-11	4.4044915380168e-08	15.8297927973712	C1qa
10353	1434484_at	7.83828411720617	10.6203618107737	7.10668682766647	1.16139876186696e-06	4.87917487308214e-05	5.63837267200332	1100001G20Rik
16192	1448025_at	7.83166545231728	8.94961903802209	9.62944408610698	1.38316685738815e-08	2.16292717324072e-06	10.01277559478	NA
1173	1417063_at	7.78848391063409	7.9134169503126	11.525080722185	8.07376912841625e-10	3.24652023631566e-07	12.7640457452831	C1qb
18776	1452348_s_at	7.75565414458876	6.7199840048876	4.74212037202251	0.00015652010732472	0.00163702729992478	0.758030215829202	NA
18328	1451632_a_at	-7.68171755880453	7.39763515169988	-3.0300514327799	0.00710884620008549	0.0266351079423503	-2.97282539178695	NA
11734	1436530_at	7.63740280372561	9.7268745945124	8.78433901762704	5.57937584441187e-08	5.763136938737e-06	8.64423620236074	Wfdc17
20643	1455930_at	-7.61425036315441	7.06996334772999	-6.46701742851591	4.08034699120667e-06	0.000117248280607184	4.38756767464258	NA
2132	1418365_at	7.56699184164343	9.24401178555205	10.0985335726784	6.60981089042256e-09	1.31716567814633e-06	10.7330408409603	Ctsh
2358	1418722_at	7.54076740393257	12.7735517930573	5.08953970191201	7.3110776190267e-05	0.00094669836587259	1.51371761305742	Ngp
13453	1439483_at	-7.51932987803534	6.17732900223127	-5.18908694346523	5.89084366705331e-05	0.000810419173124462	1.72845214216205	AI506816
12065	1437060_at	7.4123982043595	9.000099881075	5.79144385351604	1.63203796295686e-05	0.00031085115764813	3.00631316279626	Olfm4
2969	1419905_s_at	7.34263895689973	6.71058089367268	7.09344229322748	1.19134199180475e-06	4.97711298171789e-05	5.6130585387382	Hpgd
2049	1418243_at	7.29534626661899	8.07033392212537	15.3086358722004	7.19380092591194e-12	1.47263644772441e-08	17.1792250944073	Fcna
5424	1424542_at	7.28640924786759	10.0348668004155	8.80798313116795	5.35957175554694e-08	5.56160538209244e-06	8.68380762509206	S100a4
3239	1420699_at	7.28573091001225	8.79458060843756	8.74756306912797	5.94012561462109e-08	6.05247731176641e-06	8.58253711074446	Clec7a
16947	1449038_at	7.26397198369326	8.99806535369867	12.9613691373436	1.17949497165504e-10	1.09140407289873e-07	14.5908584947767	Hsd11b1
4423	1423285_at	7.21850103390597	5.231742989081	13.7533187706772	4.39160770161355e-11	4.9445111112467e-08	15.5152303981861	Coch
18697	1452231_x_at	7.21591441440721	5.91329232298407	3.56464897027711	0.00217207691457997	0.0110838375852155	-1.82920128546241	NA
16844	1448881_at	7.2098856906345	10.808149265272	6.9846835704567	1.46962740409619e-06	5.76483143144611e-05	5.40424774516472	Hp
6775	1426808_at	7.19309942766151	10.7013947238996	11.0949707710511	1.48948490703702e-09	4.79146016237996e-07	12.1758128201681	Lgals3
3772	1422013_at	7.19130001965492	8.6183992231653	7.73754198253239	3.55080856301581e-07	2.10925923748445e-05	6.81519653088405	Clec4a2
11906	1436823_x_at	7.18968458193504	5.85491054711722	2.16373040637502	0.0439662887562457	0.104544127794418	-4.67135488410125	Hbb-y
