logFC	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols6
-3.214564548	1452670_at	-3.214564548	6.53855098	-2.780987392	0.012206865	0.546813897	-2.772389997	Myl9
-3.173404038	1418059_at	-3.173404038	5.450119536	-1.897297251	0.07370415	0.905439197	-4.26550866	Eltd1
-3.173363463	1455435_s_at	-3.173363463	6.702797798	-2.36186148	0.029469558	0.702595694	-3.515206314	Chdh
-3.162312875	1423590_at	-3.162312875	9.390814831	-2.519602189	0.021256132	0.633775573	-3.241602942	Napsa
-3.162115935	1435477_s_at	-3.162115935	10.07445177	-4.692758272	0.000174545	0.095863375	0.86522882	Fcgr2b
-3.158892413	1422412_x_at	-3.158892413	6.966762045	-3.14587004	0.005511434	0.415071778	-2.09300855	Ear3
-3.148892009	1451474_a_at	-3.148892009	7.565270088	-3.299837597	0.003920164	0.36780937	-1.800537645	Parp8
-3.13796421	1448617_at	-3.13796421	11.22684746	-3.586424956	0.002068768	0.296236823	-1.250892034	Cd53
-3.119075	1454269_s_at	-3.119075	5.990513613	-2.271874665	0.035395385	0.742116656	-3.667474365	4930519L02Rik
-3.114650742	1451313_a_at	-3.114650742	7.891125003	-3.892179023	0.001042249	0.215315272	-0.661397334	1110067D22Rik
-3.108812959	1419872_at	-3.108812959	9.77922426	-3.462916324	0.002726559	0.319815684	-1.488384017	Csf1r
-3.093176736	1451190_a_at	-3.093176736	7.416968812	-3.337188202	0.003607988	0.36780937	-1.729227	Sbk1
-3.080264291	1421811_at	-3.080264291	11.41038289	-2.782573783	0.012165312	0.546813897	-2.769490736	Thbs1
-3.078274046	1418058_at	-3.078274046	5.482343412	-2.065106685	0.053395542	0.826183605	-4.005314407	Eltd1
-3.068431537	1417176_at	-3.068431537	6.83099871	-4.41768744	0.000321418	0.130348581	0.346014369	Csnk1e
-3.04717931	1420760_s_at	-3.04717931	8.083646825	-4.06025874	0.000714842	0.18502075	-0.337714268	Ndrg1
-3.046231661	1433883_at	-3.046231661	11.58051528	-3.975190647	0.000865118	0.191843689	-0.501432395	Tpm4
-3.018847942	1416008_at	-3.018847942	7.697311232	-2.499869776	0.022150839	0.636250398	-3.276261998	Satb1
-3.016246275	1428735_at	-3.016246275	6.469147699	-5.573164843	2.59E-05	0.049241778	2.464661457	Cd69
-3.009968644	1448797_at	-3.009968644	7.926298251	-4.381039045	0.00034878	0.133661184	0.276315468	Elk3
-3.002916283	1454632_at	-3.002916283	7.860807967	-4.174092067	0.000553899	0.164114492	-0.119115557	Tmem229b
-3.002062112	1419561_at	-3.002062112	3.363808719	-2.055330059	0.054423699	0.830293264	-4.020836607	Ccl3
