logFC	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols7
-3.5686435	1447918_x_at	-3.5686435	6.583188681	-3.876787871	0.001078876	0.050507565	-0.825697877	Iglv1
-3.563961886	1437667_a_at	-3.563961886	5.84291587	-5.552831775	2.70E-05	0.005380403	2.697254309	Bach2
-3.562797412	1440304_at	-3.562797412	4.908515872	-7.793056076	3.21E-07	0.000167961	6.877291412	NA
-3.549917702	1416301_a_at	-3.549917702	5.406187916	-7.163925514	1.04E-06	0.000450661	5.780006871	Ebf1
-3.515904004	1429413_at	-3.515904004	3.735810271	-8.1688805	1.63E-07	0.0001111	7.503825286	Cpm
-3.503966551	1457728_at	-3.503966551	7.616320899	-7.71214785	3.72E-07	0.00018598	6.739591815	Fam129c
-3.499691226	1443264_at	-3.499691226	6.223949096	-2.494992804	0.022377374	0.165645528	-3.659954465	Ms4a2
-3.496904806	1428866_at	-3.496904806	3.869726088	-8.345231481	1.19E-07	8.95E-05	7.790460144	2810037O22Rik
-3.486782539	1430143_at	-3.486782539	3.82724332	-9.245152307	2.58E-08	2.77E-05	9.181993823	4930426D05Rik
-3.464892109	1449924_at	-3.464892109	3.389389815	-3.661554619	0.00174838	0.063536515	-1.28418474	Prg3
-3.438231999	1416930_at	-3.438231999	6.596021384	-4.979803427	9.29E-05	0.012598077	1.516779221	Ly6d
-3.436970397	1450680_at	-3.436970397	4.520608154	-3.560494053	0.002192362	0.07003123	-1.498507644	Rag1
-3.435023223	1435290_x_at	-3.435023223	8.446990434	-3.985209644	0.000845889	0.045347319	-0.594116336	H2-Aa
-3.426090934	1443687_x_at	-3.426090934	4.581168418	-2.686862052	0.014930915	0.141802757	-3.2907376	H2-DMb2
-3.416796862	1425802_a_at	-3.416796862	4.680552693	-9.698383693	1.24E-08	1.55E-05	9.839378644	Fcrla
-3.362563059	1417640_at	-3.362563059	8.344186535	-3.728508112	0.001504702	0.059235818	-1.141808425	Cd79b
-3.351911179	1427503_at	-3.351911179	7.340850937	-6.076378673	9.03E-06	0.002510273	3.740289237	Ighg3
