logFC	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols1
-2.252140321	1428114_at	-2.252140321	4.012723776	-4.766717873	0.000365495	0.002994095	-0.416811652	Slc14a1
-2.223693759	1452514_a_at	-2.223693759	10.41855951	-8.224258932	1.62E-06	4.64E-05	5.215234922	Kit
-2.213590921	1427351_s_at	-2.213590921	9.531750313	-8.155720743	1.78E-06	5.00E-05	5.118830169	Ighm
-2.212228686	1455904_at	-2.212228686	9.886189307	-12.03501538	1.96E-08	1.29E-06	9.794887526	NA
-2.199779779	1430522_a_at	-2.199779779	8.404419465	-5.488230542	0.000103211	0.001154924	0.890138712	Vamp5
-2.192056984	1415780_a_at	-2.192056984	5.63749239	-9.444588878	3.40E-07	1.28E-05	6.840354927	Armcx2
-2.191142268	1426193_at	-2.191142268	4.573077621	-5.068717577	0.000213465	0.001987638	0.138002423	Otos
-2.190772317	1419402_at	-2.190772317	7.637663858	-7.916120689	2.47E-06	6.56E-05	4.77728462	Mns1
-2.17448334	1425454_a_at	-2.17448334	5.417265118	-5.881129914	5.34E-05	0.000700346	1.573556885	Il12a
-2.170159862	1448470_at	-2.170159862	6.436557074	-6.268562875	2.85E-05	0.000443865	2.226832142	Fbp1
-2.169952756	1418059_at	-2.169952756	7.389355307	-9.728499915	2.42E-07	9.95E-06	7.1950554	Eltd1
-2.163399188	1424567_at	-2.163399188	4.776746946	-5.265644112	0.000151313	0.001544946	0.493864864	Tspan2
-2.155888187	1453840_at	-2.155888187	8.015122977	-3.153373182	0.007599885	0.030352375	-3.497376347	Pabpc1
-2.143974465	1434875_a_at	-2.143974465	7.162881359	-7.260891934	6.26E-06	0.000136693	3.806181115	Hmgn3
-2.140633106	1448918_at	-2.140633106	6.091064236	-4.467398275	0.000629978	0.004562701	-0.97654747	Slco3a1
-2.134581685	1451469_at	-2.134581685	5.629200772	-7.913093714	2.48E-06	6.58E-05	4.772924211	Cntln
-2.129953202	1425742_a_at	-2.129953202	6.827444021	-6.100105188	3.74E-05	0.00053586	1.945324851	Tsc22d1
-2.119370818	1437658_a_at	-2.119370818	7.620320222	-8.041796905	2.07E-06	5.66E-05	4.957317256	Snhg1
-2.11304503	1433485_x_at	-2.11304503	7.99638533	-6.766494522	1.31E-05	0.000239098	3.036066387	Gpr56
-2.107712945	1459994_x_at	-2.107712945	6.977804542	-4.994800732	0.000243226	0.002180357	0.003196123	Tfr2
-2.100035323	1436871_at	-2.100035323	7.988505042	-5.981385458	4.53E-05	0.000616122	1.744584589	Srsf7
-2.058409404	1442025_a_at	-2.058409404	3.836048777	-6.952417545	9.89E-06	0.00019456	3.329534438	NA
-2.050286817	1451790_a_at	-2.050286817	6.155931661	-5.415738627	0.000116818	0.001268299	0.761789202	Tfpi
-2.034845327	1449645_s_at	-2.034845327	6.844998945	-3.33873717	0.005317227	0.023249275	-3.141273569	Cct3
-2.016546347	1437626_at	-2.016546347	10.07371864	-8.702121904	8.63E-07	2.70E-05	5.871807293	Zfp36l2
-2.016275522	1427329_a_at	-2.016275522	8.686670771	-9.0335077	5.65E-07	1.94E-05	6.3116206	Ighm
-2.012438898	1424877_a_at	-2.012438898	6.831593503	-5.923661801	4.98E-05	0.000663039	1.646281073	Alad
-2.00482859	1434554_at	-2.00482859	4.441597204	-3.385106801	0.004863186	0.021771755	-3.051920203	Trim37
-2.000529534	1418345_at	-2.000529534	6.89152985	-3.925554296	0.001731585	0.009878677	-2.009392464	NA
-1.996026772	1448471_a_at	-1.996026772	8.730803332	-3.327744942	0.005430977	0.023585662	-3.162442872	Ctla2a
-1.98385362	1431980_a_at	-1.98385362	7.605419746	-8.050391683	2.05E-06	5.62E-05	4.969557916	As3mt
-1.979017012	1438467_at	-1.979017012	2.847600197	-5.674534117	7.53E-05	0.000905598	1.216795032	Mgl2
-1.957689491	1450009_at	-1.957689491	9.585373246	-4.559125823	0.000532553	0.003992562	-0.804055485	Ltf
-1.954520468	1416958_at	-1.954520468	5.485232828	-5.165746276	0.000180055	0.001748461	0.313946408	Nr1d2
-1.953173756	1450639_at	-1.953173756	7.625262678	-7.44745069	4.77E-06	0.00011138	4.088325946	NA
-1.949894874	1430982_at	-1.949894874	4.458511838	-4.501163657	0.00059213	0.004341393	-0.912958892	Srsf1
-1.937530203	1438076_at	-1.937530203	5.056279834	-5.258007297	0.00015333	0.001562727	0.480155378	Rpl30
-1.935124317	1438844_x_at	-1.935124317	5.534800459	-4.7098711	0.000404965	0.003238454	-0.522402988	Spata5
-1.929553393	1436222_at	-1.929553393	9.596115256	-9.075677462	5.36E-07	1.86E-05	6.366706054	Gas5
-1.928639299	1429381_x_at	-1.928639299	3.6950185	-2.524992026	0.025322213	0.075208767	-4.675346133	NA
-1.923171848	1421937_at	-1.923171848	9.040680317	-10.82748039	6.92E-08	3.61E-06	8.49294831	Dapp1
-1.914419207	1422972_s_at	-1.914419207	4.496570783	-5.634403659	8.06E-05	0.000948351	1.146824771	Kat2a
-1.908141334	1417901_a_at	-1.908141334	4.810454598	-6.362371217	2.46E-05	0.000398596	2.381896697	Ica1
-1.907612912	1452829_at	-1.907612912	6.955920454	-5.864656615	5.49E-05	0.000715495	1.5453231	Cad
-1.904691369	1451199_at	-1.904691369	8.188234957	-7.617957686	3.74E-06	9.19E-05	4.342227452	Qtrtd1
-1.884417817	1416106_at	-1.884417817	7.683109583	-6.70043631	1.45E-05	0.000257493	2.930665898	Kti12
-1.873515439	1448311_at	-1.873515439	6.416432094	-3.567171057	0.003427954	0.0166295	-2.70055336	Usp5
-1.86740379	1428308_at	-1.86740379	7.31095082	-4.411782131	0.000697866	0.004918976	-1.081515645	Pdrg1
-1.866084978	1426939_at	-1.866084978	7.365089315	-6.448434348	2.14E-05	0.000359917	2.523091112	Tsr2
-1.857426051	1418772_at	-1.857426051	5.30382076	-4.493403074	0.000600616	0.004380892	-0.927564505	BC016423
-1.84760376	1432538_a_at	-1.84760376	7.33231292	-6.208155545	3.14E-05	0.000472911	2.126336526	Rfc3
-1.842757661	1417270_at	-1.842757661	6.47013894	-4.166519731	0.001100416	0.006919961	-1.547519078	Wdr12
-1.840838229	1449924_at	-1.840838229	3.356540693	-5.117320626	0.000195988	0.001863201	0.226280497	Prg3
-1.838320109	1451665_a_at	-1.838320109	5.865852448	-8.394671142	1.29E-06	3.85E-05	5.45247748	Ap4s1
-1.828300487	1432057_a_at	-1.828300487	4.986324604	-3.945998836	0.001665904	0.00957641	-1.970083368	Prdm5
-1.817646393	1424674_at	-1.817646393	8.370662207	-5.047148412	0.000221735	0.002041079	0.098733731	Slc39a6
-1.817180323	1434062_at	-1.817180323	5.686497704	-8.659123864	9.12E-07	2.83E-05	5.813824896	Rabgap1l
-1.815696213	1416072_at	-1.815696213	9.26294533	-8.080686429	1.97E-06	5.43E-05	5.012631058	Cd34
