logFC	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols2
-1.73242379	1415900_a_at	-1.73242379	8.108479992	-9.936931613	7.44E-06	0.003203953	4.385055964	Kit
-1.693433631	1422828_at	-1.693433631	3.840919197	-1.446079931	0.185258714	0.593570011	-5.759421889	Cd3d
-1.690180294	1417215_at	-1.690180294	7.386767376	-3.485047139	0.007942511	0.176112	-2.693106033	Rab27b
-1.688712295	1433598_at	-1.688712295	6.989969973	-2.633485496	0.029383613	0.309224942	-4.018374717	Arglu1
-1.677891672	1424882_a_at	-1.677891672	9.10696954	-4.510239234	0.001854434	0.081000802	-1.191327221	Nt5dc2
-1.66957519	1417266_at	-1.66957519	12.88974664	-8.000077693	3.79E-05	0.008404946	2.792942416	Ccl6
-1.666934269	1422537_a_at	-1.666934269	9.340619472	-4.173615471	0.002940354	0.106275491	-1.668657886	Id2
-1.664804771	1421594_a_at	-1.664804771	3.538891392	-3.050681642	0.01534487	0.238886613	-3.365049266	Sytl2
-1.664515092	1435375_at	-1.664515092	9.31218041	-4.426953352	0.002075231	0.088080323	-1.307873535	Fam105a
-1.651529114	1421987_at	-1.651529114	8.050461538	-7.193899335	8.21E-05	0.012754996	2.015960126	Papss2
-1.648777773	1422027_a_at	-1.648777773	5.304037623	-3.116818838	0.013862047	0.225517042	-3.261885154	Ets1
-1.647942404	1419060_at	-1.647942404	11.89110219	-3.950347025	0.004028558	0.128777132	-1.994179997	Gzmb
-1.624116975	1450913_at	-1.624116975	4.079083767	-1.592901075	0.148916529	0.550913241	-5.567273542	B4galt6
-1.617913732	1450781_at	-1.617913732	4.234853299	-2.725712654	0.025425952	0.298695534	-3.873943122	Hmga2
-1.616801737	1419157_at	-1.616801737	6.628056624	-3.808587167	0.004938454	0.141082666	-2.204336568	Sox4
-1.615152835	1432646_a_at	-1.615152835	6.034833201	-3.323301635	0.010123852	0.197185784	-2.941580134	2900097C17Rik
-1.614570366	1419402_at	-1.614570366	8.86117508	-6.014749268	0.000288199	0.028351277	0.733533578	Mns1
-1.608023109	1424367_a_at	-1.608023109	7.430037958	-6.608525823	0.00015006	0.018655307	1.402385869	Homer2
-1.607068042	1415871_at	-1.607068042	8.255274373	-2.395393688	0.042753119	0.354854023	-4.389259764	Tgfbi
-1.594685195	1419136_at	-1.594685195	10.09973356	-3.89988252	0.004330036	0.133476002	-2.068693569	Akr1c18
-1.594551897	1452592_at	-1.594551897	8.715298789	-1.815062051	0.106136611	0.490168809	-5.259073482	Mgst2
-1.589036123	1425923_at	-1.589036123	13.44611321	-11.06772285	3.25E-06	0.001599039	5.166263596	Mycn
-1.581528335	1435758_at	-1.581528335	7.073527916	-1.292991904	0.231240895	0.640240397	-5.947871105	B4galt6
-1.573102103	1451339_at	-1.573102103	6.879320366	-7.543736214	5.82E-05	0.011110808	2.362381518	Suox
-1.572993978	1437687_x_at	-1.572993978	6.917005056	-3.195424372	0.012292147	0.215261623	-3.139597752	NA
-1.560478824	1449456_a_at	-1.560478824	12.93680962	-7.884637482	4.22E-05	0.008832918	2.686229054	Cma1
-1.547986133	1436898_at	-1.547986133	9.897199876	-1.824290454	0.104636094	0.487638274	-5.245884321	NA
-1.546517726	1421906_at	-1.546517726	6.206325853	-3.623272524	0.006472073	0.163434283	-2.482833438	Med1
-1.539359268	1422953_at	-1.539359268	10.0418591	-1.391088922	0.200769972	0.609709087	-5.828613294	Fpr2
-1.524747414	1426517_at	-1.524747414	6.703420089	-2.643782535	0.028912189	0.307836848	-4.002261421	Gnaz
-1.523294396	1434280_at	-1.523294396	8.654624021	-2.506789062	0.035866305	0.331828189	-4.216225098	NA
-1.513008479	1420610_at	-1.513008479	7.943500957	-4.895511268	0.00111677	0.065123797	-0.665814297	Prkacb
-1.512052484	1456262_at	-1.512052484	5.077829883	-2.205016797	0.057721769	0.389621942	-4.681766929	Rbm5
-1.507125282	1418469_at	-1.507125282	7.32541569	-2.789102607	0.023026109	0.285453572	-3.774583309	Nrip1
-1.500351683	1419764_at	-1.500351683	10.88220896	-2.007068108	0.078760053	0.438738013	-4.979440506	Chi3l3
-1.493086723	1425451_s_at	-1.493086723	10.23109612	-2.040280972	0.074771493	0.431356399	-4.930075861	NA
-1.489438907	1420569_at	-1.489438907	4.549089175	-7.053097342	9.46E-05	0.014076811	1.872342062	Chad
-1.485532435	1419691_at	-1.485532435	10.23484745	-1.196246499	0.265032199	0.671177935	-6.059808427	Camp
-1.484826829	1421775_at	-1.484826829	12.65809348	-13.47260304	6.99E-07	0.000527484	6.546689214	Fcer1a
-1.482671866	1423478_at	-1.482671866	8.2472599	-6.200780291	0.000233823	0.024269823	0.948333788	Prkcb
-1.482388895	1419038_a_at	-1.482388895	9.142654857	-1.79886069	0.108820046	0.496396021	-5.282160551	Csnk2a1
-1.478584889	1456112_at	-1.478584889	8.772447998	-1.784595468	0.11123546	0.50115761	-5.302415742	Tpr
-1.470608699	1417214_at	-1.470608699	8.77665522	-3.576423831	0.006935165	0.167286823	-2.553870667	Rab27b
-1.46968836	1421694_a_at	-1.46968836	5.221025125	-1.351420809	0.212648564	0.619387678	-5.877502514	Vcan
-1.46944982	1441350_at	-1.46944982	6.651417921	-5.53402375	0.000504998	0.041701	0.155396935	Fgf3
-1.454633654	1421011_at	-1.454633654	6.64895232	-3.457408031	0.00827687	0.180416624	-2.735390171	Hsd17b11
-1.449433941	1420342_at	-1.449433941	5.329890799	-2.127652857	0.065193175	0.408221464	-4.799043077	NA
-1.447146549	1426603_at	-1.447146549	5.918844398	-2.564325099	0.032759412	0.321193615	-4.126483893	Rnasel
-1.445429267	1418499_a_at	-1.445429267	6.518519865	-2.378069062	0.043937677	0.359217893	-4.416066221	Kcne3
-1.443535602	1460329_at	-1.443535602	7.384756251	-1.479258696	0.176418063	0.582447613	-5.716913273	B4galt6
-1.437852352	1417705_at	-1.437852352	7.761491476	-2.469839755	0.038017034	0.338650952	-4.273736376	Otub1
-1.426856836	1460651_at	-1.426856836	9.930436164	-4.607594283	0.001628041	0.077138197	-1.056410812	Lat
-1.423446317	1420407_at	-1.423446317	7.287016014	-1.798757598	0.108837323	0.496396021	-5.282307178	Ltb4r1
-1.422153471	1452202_at	-1.422153471	5.172562448	-1.219921416	0.256406524	0.663933852	-6.032964878	Pde2a
-1.403251793	1421907_at	-1.403251793	9.353481995	-1.83532043	0.102868897	0.484030105	-5.230084233	Med1
-1.392479382	1448123_s_at	-1.392479382	10.21515799	-2.533794545	0.034372508	0.326769903	-4.174129516	Tgfbi
-1.388859941	1425206_a_at	-1.388859941	4.724332448	-2.800669289	0.022613959	0.283557301	-3.756450858	Ube3a
-1.387003349	1438686_at	-1.387003349	6.683454273	-4.207090603	0.002806521	0.103084964	-1.620452328	Eif4g1
-1.379455267	1427628_at	-1.379455267	3.839030457	-3.567526907	0.007027015	0.167756378	-2.567388452	Trbv13-2
-1.376256763	1421182_at	-1.376256763	6.949418807	-1.050083855	0.32363093	0.711949562	-6.217081985	Clec1b
-1.374634928	1450051_at	-1.374634928	5.07154788	-2.665289304	0.027952281	0.304061691	-3.968594995	Atrx
-1.370339533	1430447_a_at	-1.370339533	5.100962453	-3.387456879	0.009191291	0.188193986	-2.842736264	Lair1
-1.366835252	1438169_a_at	-1.366835252	4.799049291	-1.734625233	0.120098159	0.515787891	-5.372809827	Frmd4b
-1.366594638	1415893_at	-1.366594638	6.402618085	-4.001376411	0.003746436	0.123501666	-1.91917716	Sgpl1
-1.365860586	1425349_a_at	-1.365860586	5.436778929	-4.033938257	0.00357753	0.119741404	-1.871501896	Myef2
-1.365697401	1455435_s_at	-1.365697401	4.012443185	-1.116542918	0.295827006	0.690486252	-6.147426257	Chdh
-1.365049593	1436419_a_at	-1.365049593	6.266567266	-3.766593241	0.005248395	0.146244071	-2.267083396	1700097N02Rik
-1.364711478	1424975_at	-1.364711478	6.302689486	-4.644460167	0.001550282	0.076147486	-1.005694492	Siglec5
-1.360024007	1428781_at	-1.360024007	2.830417258	-2.541254044	0.033971098	0.325139622	-4.162493455	Dmkn
-1.356461146	1417136_s_at	-1.356461146	6.257167205	-2.373389847	0.044263214	0.359217893	-4.423300869	Srpk2
-1.353818853	1415801_at	-1.353818853	3.580896019	-2.156918264	0.062261364	0.401346331	-4.754807528	Gja1
-1.352383377	1418237_s_at	-1.352383377	4.497449155	-2.741435322	0.024807753	0.296044414	-3.849302491	Col18a1
