TF,Target/Input,Targets/Database,Fraction/Input,Fraction/Database,Difference,P-value,Z-score,Combined Score,Genes
ETS1,14,1681,0.08187134502923976,0.08072804110838976,0.0011433039208500057,0.5188524672865346,0.3243678718839346,-0.21282934056054684,MAP3K8;RGS1;IL15;ATF3;ZFP36L1;PTGS1;IL1R2;HLX;BAMBI;NBEA;MYCN;OLFM1;MXD4;METRNL
FOXA1,13,1705,0.07602339181286549,0.08188061278394083,-0.0058572209710753415,0.6501449865932158,0.5807534309173776,-0.2500491302366545,PLD3;CD28;IL1R2;CRISP3;FCER1G;GRN;C3AR1;H2-EB1;NAGA;PDE4B;NOV;CD300LF;CD274
NR2E3,1,139,0.005847953216374269,0.006675310954233299,-8.273577378590307E-4,0.6829888370422893,0.6673923094957327,-0.25446117978487726,HIST1H1C
RBPJ,13,1735,0.07602339181286549,0.08332132737837968,-0.0072979355655141825,0.6747109970817718,0.6894797028456965,-0.27129015250817384,NFKBIZ;DUSP3;SPECC1;AHR;IL1R2;PROCR;CLEC4A2;ERBB2IP;HIST1H1C;DHRS3;PDE4B;TSC22D1;MYL10
IKZF1,13,1674,0.07602339181286549,0.08039187436968737,-0.004368482556821873,0.6237985906248357,0.5890474203368261,-0.2779878143859772,CSF2RB2;PTPLAD2;CYP4F16;PTGS1;MYADM;LSP1;APOBR;TRPC6;HOXA7;DHRS3;PMAIP1;H2-EB1;DNASE1L1
CREB1,5,849,0.029239766081871343,0.04077222302261922,-0.011532456940747879,0.8297395481408886,1.5493409470702053,-0.2891743006320959,FOS;BCL2L11;NCOA1;TSC22D1;FLT3
TP53,8,1266,0.04678362573099415,0.060798155885319116,-0.014014530154324967,0.8213428786784416,1.5235998266646908,-0.29986672289285915,IFITM6;IER3;CD28;ITGB5;FOS;MYADM;DDIT4;CFP
USF1,9,1219,0.05263157894736842,0.0585410363540316,-0.005909457406663182,0.6751729087385252,0.7664980458687054,-0.301070053895063,USP18;H2-AB1;TGFBI;SEPP1;ITGB2;PRNP;TGM2;LSP1;NKG7
ESR2,1,51,0.005847953216374269,0.002449214810546031,0.003398738405828238,0.3467553012876511,0.29310897846896117,-0.31044225091338357,SOCS2
E2F1,26,3056,0.15204678362573099,0.14676079335350334,0.0052859902722276475,0.4558028489690516,0.39885651808544664,-0.31337953676190367,MMP12;DUSP3;DUSP1;ATF3;AHNAK;PTPLAD2;CD68;CXCL2;TIPARP;HS6ST2;BCL2L11;PROCR;APOBR;CDH1;TRPC6;SOCS2;EGR1;MYCN;CLEC10A;C3AR1;VLDLR;ITGB5;PRNP;MFSD6;PDE4B;FAM102A
NR5A2,14,1748,0.08187134502923976,0.08394563703596984,-0.00207429200673008,0.5790376704815132,0.5855616151175025,-0.3199436888293035,RGS2;AHNAK;PLD3;CD68;IL10RA;CSF2RB;LGALS3;4632428N05RIK;EGR1;DHRS3;MXD4;FADS3;FAM102A;CD300LF
MYB,13,1902,0.07602339181286549,0.09134130528742256,-0.015317913474557063,0.7925276838111027,1.439429763109352,-0.3347074959319921,WDFY2;CXCL2;HS6ST2;PTGS1;BCL2L11;NCOA1;TIAM1;NR4A1;PLXNC1;ITGB5;NIPBL;TSC22D1;OSBPL9
YY1,14,1700,0.08187134502923976,0.0816404936848677,2.3085134437206278E-4,0.5361701612456495,0.6075585235772212,-0.3786934777063167,DUSP3;CD52;ZFP36;SPECC1;FOS;SLPI;PLBD1;NCOA1;EGR1;VLDLR;MXD4;TSC22D1;OSBPL9;BTG1
MYC,12,1699,0.07017543859649122,0.08159246986505307,-0.011417031268561847,0.7462824234565375,1.417393541943216,-0.41480187372444477,PLBD1;PTPRF;APOBR;SOCS2;IER3;KLF6;ITGB5;ITGB2;MXD4;SORD;RANGRF;S100A11
ELK1,13,1727,0.07602339181286549,0.08293713681986266,-0.006913745006997166,0.6682533534882444,1.0404241449289213,-0.41938238957939833,TGFBI;PLD3;CD68;ZFP36;CYP4F16;CISH;SOCS2;EGR1;NR4A1;OLFM1;SORL1;TGM2;OSBPL9
MYOD1,12,1672,0.07017543859649122,0.08029582673005811,-0.010120388133566888,0.7265099261934365,1.4090955586168659,-0.4502104457198328,CSF2RB2;SLC22A3;PLD3;TIPARP;LSP1;CDH1;CLEC4N;GRN;NBEA;NR4A1;HBEGF;CTSH
EGR1,12,1617,0.07017543859649122,0.07765451664025357,-0.007479078043762341,0.6833626501992355,1.353159643521978,-0.5151879212995084,ATF3;ZFP36L1;HLX;BAMBI;EGR1;MXD4;TSC22D1;PTPN12;PBX3;BTG1;TPM4;METRNL
