	FileName	Target
GSM276582.CEL	GSM276582.CEL	GFP
GSM276583.CEL	GSM276583.CEL	HHEX
GSM276584.CEL	GSM276584.CEL	HOXA9
GSM276585.CEL	GSM276585.CEL	GFP
GSM276586.CEL	GSM276586.CEL	HHEX
GSM276587.CEL	GSM276587.CEL	HOXA9
GSM276588.CEL	GSM276588.CEL	GFP
GSM276589.CEL	GSM276589.CEL	HHEX
GSM276590.CEL	GSM276590.CEL	HOXA9
