Kinase,Substrates in Input,Substrates in Database,Input Fraction,Database Fraction,Difference,P-value,Z-score,Combined Score,Substrates
BUB1,1,14,0.004975124378109453,0.003088462386940216,0.0018866619911692365,0.47888453392630986,25.45777845133725,-18.74445451479491,HDAC1
SGK3,1,13,0.004975124378109453,0.002867857930730201,0.0021072664473792517,0.45570590841905817,23.981087401497238,-18.846919209781845,GSK3B
CDK8,1,15,0.004975124378109453,0.0033090668431502318,0.0016660575349592209,0.5010808061572171,27.44388324509966,-18.96339128343377,SMAD3
STK4,2,18,0.009950248756218905,0.003970880211780278,0.0059793685444386275,0.20756194633331773,12.742437649268467,-20.035258976813402,TP53;ABL1
MAPK7,5,20,0.024875621890547265,0.004412089124200309,0.020463532766346958,0.0034806361685416234,3.5984948849410197,-20.369424937173417,RXRA;PML;FOS;ETS1;MYC
MAP3K2,2,18,0.009950248756218905,0.003970880211780278,0.0059793685444386275,0.20756194633331773,12.965550128172046,-20.386064405007797,NFKBIA;MAPK1
PRKCH,2,17,0.009950248756218905,0.0037502757555702626,0.006199973000648643,0.1918534511391311,12.34852607364828,-20.387706413366338,CDK2;GSK3B
IRAK2,1,15,0.004975124378109453,0.0033090668431502318,0.0016660575349592209,0.5010808061572171,30.357188726199702,-20.976450123280607,SMAD2
MAP3K10,4,21,0.01990049751243781,0.004632693580410324,0.015267803932027486,0.019797928963988284,5.382787808943696,-21.112251624327943,PHB;CLTC;TUBB;RAC1
PBK,2,18,0.009950248756218905,0.003970880211780278,0.0059793685444386275,0.20756194633331773,13.705632773089812,-21.54971518073074,SMAD4;TP53
MAP3K11,1,11,0.004975124378109453,0.0024266490183101697,0.002548475359799283,0.40622670493666774,23.986275520712088,-21.60788971494767,RAC1
NEK2,1,11,0.004975124378109453,0.0024266490183101697,0.002548475359799283,0.40622670493666774,24.139436419259,-21.745863774387878,MAPK1
WEE1,5,18,0.024875621890547265,0.003970880211780278,0.020904741678766988,0.0023620802055189533,3.6723694474833577,-22.211271183113272,BTRC;SKP2;SMAD3;CDK2;CSNK2A1
MARK2,2,17,0.009950248756218905,0.0037502757555702626,0.006199973000648643,0.1918534511391311,13.54196620505525,-22.35810408479192,UTRN;GSK3B
PLK3,5,18,0.024875621890547265,0.003970880211780278,0.020904741678766988,0.0023620802055189533,3.710822237243804,-22.44384183084639,TP53;ATF2;MAPK1;HIF1A;JUN
TTK,5,14,0.024875621890547265,0.003088462386940216,0.02178715950360705,9.376006140846857E-4,3.2363392108688993,-22.564360504267594,E2F1;TP53;TUBB;ABL1;HSPA9
