TF,Target/Input,Targets/Database,Fraction/Input,Fraction/Database,Difference,P-value,Z-score,Combined Score,Genes
RUNX2,1,1750,0.07142857142857142,0.0840416846755991,-0.012613113247027671,0.7074890657006289,0.27922067239492926,-0.09661959608825006,CD28
NFKB1,1,3284,0.07142857142857142,0.15771022427123854,-0.08628165284266712,0.9095258076523247,1.1069308022340747,-0.10497235754025634,HS6ST2
JUN,1,1699,0.07142857142857142,0.08159246986505307,-0.010163898436481647,0.6963503749518374,0.2986862578630959,-0.10809525356466969,DNTT
RBPJ,1,1735,0.07142857142857142,0.08332132737837968,-0.01189275594980825,0.7042530168954778,0.32140820835543804,-0.11269137090335857,KIT
MYOG,1,1675,0.07142857142857142,0.080439898189502,-0.009011326760930569,0.6909734927924706,0.313042946953988,-0.11571752010059885,HOXA5
CACYBP,1,1656,0.07142857142857142,0.07952744561302406,-0.00809887418445264,0.6866542383395104,0.31901715662475616,-0.11992633495994179,PRNP
POU1F1,1,1754,0.07142857142857142,0.0842337799548576,-0.01280520852628618,0.7083464419397653,0.44577249703510147,-0.15371215514414222,DNTT
EGR1,1,1617,0.07142857142857142,0.07765451664025357,-0.006225945211682141,0.6776122113479265,0.3990086128334037,-0.1552862175639087,PBX3
RELA,1,1656,0.07142857142857142,0.07952744561302406,-0.00809887418445264,0.6866542383395104,0.4542329979275233,-0.17075726972073266,HS6ST2
NR5A2,1,1748,0.07142857142857142,0.08394563703596984,-0.012517065607398417,0.7070595004762086,0.544532914506691,-0.18875713862873944,KIT
REL,1,1752,0.07142857142857142,0.08413773231522835,-0.012709160886656926,0.7079180459603455,0.5846627263527793,-0.20195826016880877,HOXA9
MYC,1,1699,0.07142857142857142,0.08159246986505307,-0.010163898436481647,0.6963503749518374,0.5761605061884436,-0.20851383138937266,DNTT
SP1,1,2360,0.07142857142857142,0.11333621476252222,-0.04190764333395079,0.8144007638539118,1.5444051503561844,-0.3170705399288105,PBX3
