Term	P-value	Genes
Apoptosis	0.03379205501589396	GSN,HIST1H1C
Axon guidance	0.0890958727946082	ST8SIA4
Hemostasis	0.0941973040298573	CLU,PF4
Signalling by NGF	0.3426402273238996	DUSP3
Signaling in Immune system	0.4577774567795768	LILRB3
Signaling by GPCR	0.48596097479166545	PF4,CALCRL
