ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols3
9037	1449939_s_at	-5.71048271607134	6.11042204400427	-9.72487435401888	1.05416926806701e-06	0.00298145423241052	4.942968407937	Dlk1
10060	1452183_a_at	-4.69833125131832	4.04751660112192	-17.2243897912168	3.00411204990045e-09	1.69927598102619e-05	7.9758173201684	Meg3
8007	1439380_x_at	-4.35416225741994	5.40840074267427	-12.7043698993944	7.1437427612056e-08	0.000269390539525063	6.54234591267273	Meg3
5618	1427242_at	3.82362477750599	3.64624614270851	26.3474200379497	3.2469658569579e-11	3.67329247397647e-07	9.27111381993248	Ddx4
9050	1449984_at	-2.88593174217569	4.56246540529663	-3.39236304793289	0.00608991787396593	0.68073051380305	-2.07429929669039	Cxcl2
7660	1437689_x_at	2.57090761999088	4.71304949568376	5.49558203035902	0.000194092147440996	0.115566550736841	0.964344039390226	Clu
9006	1449835_at	-2.38303189310436	3.07613677532136	-7.52145678571364	1.23558781511794e-05	0.0232970082540488	3.19164678895674	Pdcd1
10596	1454849_x_at	2.32523428420978	4.72328757184449	4.54277537245763	0.000860890727840659	0.217793188789364	-0.32655940480578	Clu
2340	1419609_at	-2.25798235656712	5.62562586049468	-6.98395580325794	2.43748597999893e-05	0.0344690986146599	2.66549275691379	Ccr1
2292	1419483_at	-2.00288962473768	3.96306991317287	-4.95867715111844	0.000442292258035569	0.152443850112117	0.256367578035285	C3ar1
4767	1425519_a_at	-1.99595222372238	6.75590846896546	-2.27148631556007	0.0444112371880573	1	-3.84938364208615	Cd74
2532	1420444_at	1.99312824580047	4.96760467204169	5.21774676423251	0.00029572477300331	0.13896725364711	0.604338112026851	Slc22a3
364	1416129_at	-1.9190723542214	3.41268508389964	-5.64281519259816	0.000155962536386161	0.10618430084617	1.14958486433789	Errfi1
10199	1452431_s_at	-1.7922697027943	4.96031288049115	-2.46842581056156	0.0314004168502009	1	-3.54409003093325	H2-Aa
6956	1434735_at	1.77881431912766	6.01963009532921	3.20756450793786	0.00843937950009266	0.739280428962285	-2.3680904187934	Hlf
6863	1434465_x_at	1.74542612919801	6.63410510504167	3.19951516895836	0.00856057068806323	0.739280428962285	-2.38092674046362	Vldlr
7105	1435290_x_at	-1.70266054730979	8.12731755773413	-2.2893568543422	0.0430428433698125	1	-3.82196504522652	H2-Aa
