logFC	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols5
-1.531296819	1417238_at	-1.531296819	6.191811235	-1.833871017	0.094109579	0.63744588	-4.377755025	Ewsr1
-1.52724758	1424342_at	-1.52724758	6.910072709	-4.007539435	0.002099133	0.309401757	-1.144079477	Fyttd1
-1.518191228	1452708_a_at	-1.518191228	6.089433039	-2.653295824	0.022619706	0.511845036	-3.179035216	Luc7l
-1.514199653	1450087_a_at	-1.514199653	5.355439853	-2.793508797	0.017623264	0.497686091	-2.964889471	Nolc1
-1.499544098	1460288_a_at	-1.499544098	7.933209312	-1.943717565	0.078203381	0.617588662	-4.226079535	Ppp4c
-1.49844859	1423826_at	-1.49844859	7.209154011	-2.076235442	0.062343991	0.595965668	-4.038211561	Noc4l
-1.498108925	1417832_at	-1.498108925	4.603243953	-1.920207104	0.081382717	0.619234274	-4.258873482	Smc1a
-1.488437129	1438264_a_at	-1.488437129	5.886056866	-3.002569126	0.012144938	0.486890176	-2.644792531	Tpp2
-1.482120429	1417821_at	-1.482120429	8.038913281	-1.926454438	0.080526402	0.619234274	-4.250176164	D17H6S56E-5
-1.480579828	1430980_a_at	-1.480579828	7.165839931	-1.363083178	0.200364843	0.703614876	-4.9720229	Eif4a1
-1.456207045	1424907_a_at	-1.456207045	7.038175034	-1.852717869	0.09118474	0.635286912	-4.352019134	Farsa
-1.455052024	1426114_at	-1.455052024	6.493715527	-1.724782851	0.112783543	0.641666418	-4.524155961	Hnrnpab
-1.454391247	1417069_a_at	-1.454391247	4.481264342	-3.691693559	0.00360998	0.351670751	-1.604202189	Gmfb
-1.424780337	1424207_at	-1.424780337	7.432206407	-5.875725386	0.000111034	0.143862119	1.235577961	Smarca5
-1.41662826	1428045_a_at	-1.41662826	5.465230113	-2.113949698	0.058416203	0.587088312	-3.983889481	Elf2
-1.415764747	1424675_at	-1.415764747	5.02811179	-2.291517205	0.042880196	0.571881698	-3.72388724	Slc39a6
-1.40375874	1451120_at	-1.40375874	7.286586103	-1.845130897	0.092352	0.636432786	-4.362394285	Polr1d
-1.401804915	1448132_at	-1.401804915	6.418819828	-2.081262007	0.061806454	0.595965668	-4.030991905	Slc19a1
-1.389959217	1426408_at	-1.389959217	5.615989567	-4.135882027	0.001689582	0.303415228	-0.961221676	Celf1
-1.386477618	1451456_at	-1.386477618	4.725520187	-3.903562997	0.002506262	0.335590766	-1.294028111	Hjurp
-1.385673416	1434300_at	-1.385673416	6.262568117	-6.45718686	4.91E-05	0.141585176	1.848617577	U2surp
-1.382363572	1434813_x_at	-1.382363572	7.009550161	-1.82155886	0.096066379	0.637792809	-4.394499896	Wars
-1.382361996	1437477_at	-1.382361996	5.372465287	-3.742983334	0.003303331	0.351670751	-1.528576159	Lrrfip1
-1.367175085	1426658_x_at	-1.367175085	7.912987639	-1.454783444	0.173929562	0.684167292	-4.864661569	Phgdh
-1.358219045	1422556_at	-1.358219045	4.651068758	-2.321835327	0.04065919	0.565977911	-3.678889042	Gna13
-1.356658378	1438040_a_at	-1.356658378	8.293065917	-2.489239433	0.030264957	0.540415027	-3.427961722	Hsp90b1
-1.349896218	1433598_at	-1.349896218	5.886837839	-3.686027478	0.003645615	0.351670751	-1.612576737	Arglu1
-1.345028334	1422748_at	-1.345028334	3.875076496	-1.873952587	0.087989351	0.629729093	-4.322875529	Zeb2
-1.34258211	1436746_at	-1.34258211	8.592539393	-3.697303498	0.003575053	0.351670751	-1.595914491	Wnk1
-1.342321286	1425895_a_at	-1.342321286	4.153226157	-3.832695543	0.002830109	0.348448628	-1.397110309	Id1
-1.340751514	1451242_a_at	-1.340751514	6.028113619	-1.868858816	0.088746338	0.629744734	-4.329880475	Ppp5c
-1.336145695	1419260_a_at	-1.336145695	8.906900295	-1.644855716	0.128516259	0.647963324	-4.628415793	Snrpb
-1.329581086	1426423_at	-1.329581086	6.548575791	-1.631200996	0.131391131	0.647963324	-4.645953765	Shmt2
-1.327011188	1427276_at	-1.327011188	6.43190319	-3.132903545	0.009633838	0.467224566	-2.445539281	Smc4
-1.325712111	1438824_at	-1.325712111	3.686608525	-1.823730425	0.09571857	0.63744588	-4.391550441	Slc20a1
-1.32233398	1425859_a_at	-1.32233398	6.548103654	-1.798784188	0.099784149	0.641587457	-4.425329905	Psmd4
-1.320083871	1451167_at	-1.320083871	4.881268128	-2.800826674	0.017395029	0.497686091	-2.953692428	Ccdc101
-1.316632212	1434282_at	-1.316632212	4.116005395	-4.161159695	0.001619264	0.303415228	-0.925508288	Ibtk
-1.299113603	1421596_s_at	-1.299113603	3.446064308	-1.93104151	0.079902979	0.619234274	-4.243782382	H28
-1.29538091	1421933_at	-1.29538091	4.279770927	-5.056715405	0.000379372	0.186463179	0.269541545	Cbx5
-1.292877682	1426118_a_at	-1.292877682	6.949153071	-1.387349288	0.193060893	0.701067961	-4.944064687	Tomm40
-1.291520606	1418023_at	-1.291520606	6.865065683	-3.165147219	0.009098241	0.455435413	-2.396346712	Naa15
-1.287870657	1425917_at	-1.287870657	3.168398481	-1.849858077	0.091623123	0.636432786	-4.355932235	H28
-1.268227469	1424398_at	-1.268227469	7.438781392	-3.205150173	0.008475546	0.44661146	-2.335389689	Dhx36
-1.263691258	1456262_at	-1.263691258	5.138211992	-2.698312952	0.020878717	0.508808784	-3.110381138	Rbm5
-1.262357566	1453307_a_at	-1.262357566	6.259664736	-1.692734324	0.118872278	0.642731955	-4.566282737	Anapc5
-1.26210104	1454904_at	-1.26210104	4.702898865	-1.425091055	0.182145624	0.692309515	-4.899928263	Mtm1
-1.260584309	1417736_at	-1.260584309	4.419095065	-3.141253859	0.009492136	0.467224566	-2.432794924	Smc6
-1.259491646	1427058_at	-1.259491646	8.377759404	-1.124765226	0.284860086	0.757195055	-5.22767203	Eif4a1
-1.25276998	1419256_at	-1.25276998	7.599689971	-2.140802	0.055763667	0.584967084	-3.94500385	Spnb2
-1.249906344	1433952_at	-1.249906344	6.496932983	-1.65128346	0.127182366	0.647822536	-4.620131692	Tufm
-1.248400174	1438009_at	-1.248400174	7.911173189	-2.699996425	0.020816254	0.508808784	-3.107811577	NA
-1.244362454	1429003_at	-1.244362454	5.968482114	-1.83017729	0.094692772	0.63744588	-4.382784265	Snw1
-1.236834947	1456398_at	-1.236834947	6.449562344	-1.656721846	0.1260634	0.647180182	-4.613108622	Tug1
-1.234597165	1416246_a_at	-1.234597165	10.30891819	-1.650981697	0.127244713	0.647822536	-4.620521009	Coro1a
-1.229605442	1416062_at	-1.229605442	4.065579689	-2.54311536	0.027509309	0.540415027	-3.346477767	Tbc1d15
-1.229042682	1451319_at	-1.229042682	5.373987523	-3.117787097	0.009895838	0.4693238	-2.468618051	Senp1
-1.227033217	1452173_at	-1.227033217	4.545620522	-1.722015852	0.113297964	0.641762612	-4.527809598	Hadha
-1.225103132	1426790_at	-1.225103132	8.847696696	-1.980684652	0.07343674	0.609530326	-4.174173951	Ssrp1
-1.224747303	1423430_at	-1.224747303	6.878673339	-1.616508496	0.134547893	0.650937674	-4.664731987	Mybbp1a
-1.215725495	1434393_at	-1.215725495	5.681046119	-3.444980276	0.005552036	0.40378693	-1.972213418	Usp34
-1.214525506	1438527_at	-1.214525506	6.546950972	-3.284768102	0.007362053	0.423598699	-2.214350147	NA
-1.209341314	1454791_a_at	-1.209341314	7.319743064	-1.65783749	0.125834937	0.647180182	-4.611666305	Rbbp4
-1.20359218	1419155_a_at	-1.20359218	5.781452155	-1.639953617	0.129541873	0.647963324	-4.634721463	Sox4
-1.202965953	1430289_a_at	-1.202965953	4.212883982	-2.66018615	0.022344197	0.511845036	-3.168534676	Wdr77
-1.200317615	1448777_at	-1.200317615	8.140939173	-2.16613774	0.053366116	0.58321549	-3.90816281	Mcm2
-1.199226532	1432488_a_at	-1.199226532	6.188224137	-2.397443001	0.035594212	0.555416987	-3.566035081	Sf3a3
-1.198118743	1416228_at	-1.198118743	6.350155785	-1.630017687	0.131642925	0.648357167	-4.647469706	Pin1
-1.196189028	1423827_s_at	-1.196189028	6.799119778	-2.136787832	0.0561528	0.584967084	-3.95082757	Noc4l
-1.193522883	1439463_x_at	-1.193522883	9.921114022	-2.929779203	0.013825088	0.48720203	-2.756245189	NA
-1.18862458	1454754_a_at	-1.18862458	7.239655333	-1.745750725	0.108953152	0.64165985	-4.496369881	Aamp
-1.187579611	1460495_s_at	-1.187579611	7.638892966	-1.705390382	0.116433475	0.64207884	-4.549697052	Htra2
-1.187293316	1451121_a_at	-1.187293316	7.236500114	-1.322047022	0.213239339	0.717754589	-5.018533988	Gltscr2
-1.185847359	1451569_at	-1.185847359	3.888529169	-3.567005125	0.004484276	0.384740842	-1.789367519	Nr2c2
-1.184835075	1447631_at	-1.184835075	4.205637528	-1.941823257	0.078455218	0.617588662	-4.228728205	Myst2
-1.18070944	1439040_at	-1.18070944	6.128336004	-2.928749215	0.013850468	0.48720203	-2.75782262	Cenpe
-1.178767745	1416819_at	-1.178767745	8.395317331	-1.345503575	0.205798897	0.709337296	-4.992067588	Cdc37
-1.174831351	1423703_at	-1.174831351	7.301239241	-1.738026839	0.110350291	0.64165985	-4.506625682	Ppan
-1.17423413	1426958_at	-1.17423413	5.560067797	-3.337611046	0.006706462	0.416852118	-2.134256288	Rps9
-1.171854586	1437082_at	-1.171854586	6.014910763	-2.716614495	0.020209529	0.508808784	-3.082439182	Akap9
-1.170464319	1415807_s_at	-1.170464319	5.595992536	-1.874850802	0.087856485	0.629503551	-4.321639398	Srsf2
-1.170096994	1437220_x_at	-1.170096994	6.950528299	-1.599339704	0.138321301	0.653373226	-4.686551489	Psmd13
-1.170089103	1448907_at	-1.170089103	4.931426022	-2.465460836	0.031565519	0.540415027	-3.463826446	Thop1
-1.168785314	1415980_at	-1.168785314	8.15114131	-1.650381861	0.127368723	0.647822536	-4.621294765	Atp5g2
-1.166299827	1417213_a_at	-1.166299827	4.91716907	-2.376235044	0.03694965	0.560409944	-3.597776926	Rbm6
-1.164617168	1415819_a_at	-1.164617168	7.769121171	-1.556591526	0.148123042	0.658890433	-4.740285738	Ppp2r1a
-1.163235711	1415811_at	-1.163235711	5.005674619	-2.16375404	0.053587441	0.58321549	-3.911635082	Uhrf1
-1.162542355	1449263_at	-1.162542355	5.999421667	-2.329981628	0.040081606	0.565977911	-3.666772183	Ufm1
-1.16025187	1425676_a_at	-1.16025187	7.200396599	-1.497000904	0.162793427	0.672238123	-4.813720738	Elovl1
-1.157202935	1427937_at	-1.157202935	3.701888933	-6.392763486	5.36E-05	0.141585176	1.783564292	Vma21
-1.154735602	1416696_at	-1.154735602	5.486034723	-2.267201438	0.044745508	0.572631147	-3.759861261	D17Wsu104e
-1.154663558	1416447_at	-1.154663558	6.757487635	-3.113659387	0.009968628	0.4693238	-2.474921651	Tmem30a
-1.15288753	1429369_at	-1.15288753	5.917953124	-2.412687019	0.034649912	0.551768394	-3.54318063	Tnpo3
-1.148439619	1415713_a_at	-1.148439619	6.367086166	-2.593633983	0.025150059	0.52787128	-3.269822569	Ddx24
-1.145015773	1423555_a_at	-1.145015773	4.158194308	-1.426360508	0.181787741	0.692309515	-4.898430171	Ifi44
-1.140098313	1428563_at	-1.140098313	5.838894965	-3.635893337	0.00397719	0.365610582	-1.686843915	Ddx10
-1.139406289	1418027_at	-1.139406289	4.558668109	-4.272320975	0.001344449	0.303415228	-0.769669897	Exo1
-1.138241478	1428130_at	-1.138241478	6.09402554	-1.703156061	0.116860741	0.642393372	-4.552629926	Lman1
-1.136960707	1425156_at	-1.136960707	5.711586376	-2.358642685	0.038111891	0.56336664	-3.624057649	Gbp7
-1.124603994	1424484_at	-1.124603994	5.321545637	-1.620100615	0.133769985	0.650256724	-4.660149911	Mob1a
-1.122477753	1426674_at	-1.122477753	8.396434256	-1.808116772	0.098245115	0.639385022	-4.412719281	Eif3b
-1.120010488	1416201_at	-1.120010488	6.620007835	-4.42088278	0.001051183	0.280413893	-0.56458044	Crk
-1.10963909	1420591_at	-1.10963909	5.220317045	-1.597255111	0.138785739	0.654910011	-4.689191585	Gpr84
-1.108733817	1454021_a_at	-1.108733817	5.838413796	-2.057445648	0.064392635	0.598490483	-4.065142138	Exosc10
-1.10608917	1415977_at	-1.10608917	6.576409383	-1.729858144	0.111845435	0.64165985	-4.517446378	Isyna1
-1.105804913	1460165_at	-1.105804913	9.643444944	-1.725537824	0.112643548	0.64165985	-4.523158533	Ppp1ca
-1.099648555	1448276_at	-1.099648555	8.110652676	-1.476630449	0.168087957	0.67816657	-4.838415451	Tspan4
-1.097126585	1417728_at	-1.097126585	4.921564645	-1.856232573	0.090648599	0.635286912	-4.347206035	Mbd3
-1.092786253	1450639_at	-1.092786253	4.475074622	-2.28725449	0.043201695	0.571881698	-3.730201324	NA
-1.09162583	1427439_s_at	-1.09162583	8.125074068	-1.7662985	0.105313774	0.641638796	-4.468972947	Prmt5
-1.090437235	1430127_a_at	-1.090437235	7.457328212	-2.393791663	0.035824083	0.555839651	-3.571504562	Ccnd2
-1.090431817	1454875_a_at	-1.090431817	5.315107245	-1.966249025	0.075264981	0.61391229	-4.194491695	Rbbp4
-1.08964022	1449042_at	-1.08964022	8.427738425	-2.416234685	0.034433671	0.551768394	-3.537857314	Ctcf
-1.088832989	1424348_at	-1.088832989	6.828186098	-2.369527766	0.037388656	0.561217499	-3.607802161	Mcmbp
-1.088148537	1418335_a_at	-1.088148537	6.148907313	-1.783801873	0.102300789	0.641638796	-4.445507297	NA
-1.087901189	1416525_at	-1.087901189	4.948514672	-1.908633149	0.082991449	0.619234274	-4.274953555	Spop
-1.085858892	1451026_at	-1.085858892	6.276572957	-2.052652894	0.064925241	0.598490483	-4.07199672	Ftsj3
-1.085769822	1420920_a_at	-1.085769822	8.111624652	-1.372727163	0.197434896	0.701231383	-4.960951463	Arf1
-1.085622999	1449311_at	-1.085622999	3.804378284	-2.487224742	0.030373086	0.540415027	-3.431002907	Bach1
-1.084918562	1449849_a_at	-1.084918562	4.234746112	-2.531094066	0.028102004	0.540415027	-3.364684514	Fbxl6
-1.084686174	1427108_at	-1.084686174	7.020374454	-2.046600189	0.065603783	0.598490483	-4.080644635	9530068E07Rik
-1.081940786	1452364_at	-1.081940786	6.703118216	-4.138082067	0.001683338	0.303415228	-0.958109358	Suz12
-1.080355954	1426652_at	-1.080355954	7.44951844	-2.369066191	0.037419052	0.561217499	-3.608491824	Mcm3
-1.07953735	1424115_at	-1.07953735	6.066051984	-1.517618103	0.15758158	0.667185782	-4.788512486	Ppp5c
-1.079432337	1426371_at	-1.079432337	6.464486256	-3.93510489	0.002374735	0.327626481	-1.248374737	Far1
-1.078516586	1450623_at	-1.078516586	7.132455063	-1.403452762	0.188338101	0.69698035	-4.925328768	Gnb2
-1.075547	1422967_a_at	-1.075547	3.466428441	-1.689687142	0.11946625	0.642731955	-4.570266117	Tfrc
-1.074782548	1433724_at	-1.074782548	4.835047204	-3.410615563	0.005897531	0.40378693	-2.023967908	D15Ertd621e
-1.071201423	1433804_at	-1.071201423	3.579572203	-1.844046897	0.092519887	0.636665135	-4.363875014	Jak1
-1.069803478	1426360_at	-1.069803478	5.506658507	-1.832058748	0.094395302	0.63744588	-4.380223148	Zc3h11a
-1.067132058	1426630_at	-1.067132058	6.595102805	-2.040756611	0.0662652	0.598490483	-4.088984527	Exosc2
-1.066470438	1423863_at	-1.066470438	6.071345065	-1.669620277	0.123444427	0.647180182	-4.596400649	Abcf2
