Kinase,Substrates in Input,Substrates in Database,Input Fraction,Database Fraction,Difference,P-value,Z-score,Combined Score,Substrates
BRD4,1,7,0.004405286343612335,0.001544231193470108,0.002861055150142227,0.32375812228142603,53.98067347089316,-60.877167561391055,RFC1
GAK,5,11,0.022026431718061675,0.0024266490183101697,0.019599782699751506,6.690034659850196E-4,8.41696969138413,-61.525702777694676,AR;CREBBP;CLTC;HSPA8;AXIN1
TTBK1,1,6,0.004405286343612335,0.0013236267372600927,0.0030816596063522423,0.2898414395121165,50.6453250621644,-62.720247571988374,TUBB
SIK1,1,5,0.004405286343612335,0.0011030222810500773,0.003302264062562258,0.25423154482402543,45.997275807359166,-62.99372152859565,YWHAZ
EPHA8,1,6,0.004405286343612335,0.0013236267372600927,0.0030816596063522423,0.2898414395121165,51.621381345731585,-63.92901643020749,FYN
MATK,3,9,0.013215859030837005,0.001985440105890139,0.011230418924946866,0.017099632162897883,16.341965541410957,-66.49052785245402,ERBB2;KIT;SRC
VRK1,2,8,0.00881057268722467,0.0017648356496801235,0.007045737037544547,0.07915883514238763,26.848836709548948,-68.09667430352647,JUN;TP53
CDK17,2,6,0.00881057268722467,0.0013236267372600927,0.0074869459499645775,0.0524246600799343,23.534324949363118,-69.38809030637026,YWHAZ;TGFBR1
LATS2,1,5,0.004405286343612335,0.0011030222810500773,0.003302264062562258,0.25423154482402543,51.345939234569,-70.31876868780012,YAP1
MAP4K3,1,5,0.004405286343612335,0.0011030222810500773,0.003302264062562258,0.25423154482402543,51.627425081560816,-70.70426632322327,MAPK14
HIPK1,2,8,0.00881057268722467,0.0017648356496801235,0.007045737037544547,0.07915883514238763,27.940386419521875,-70.86517060339405,TP53;RUNX1
EIF2AK1,2,6,0.00881057268722467,0.0013236267372600927,0.0074869459499645775,0.0524246600799343,24.22543790368759,-71.42575266506336,TGFBR1;HSPA1A
KSR1,2,8,0.00881057268722467,0.0017648356496801235,0.007045737037544547,0.07915883514238763,28.349681058523398,-71.90326413525845,MAPK1;YWHAZ
NUAK2,4,5,0.01762114537444934,0.0011030222810500773,0.016518123093399263,5.251496294128059E-4,9.725861982587858,-73.44803030432476,TGFBR1;SMAD4;SMAD2;ACVR1
EIF2AK4,3,6,0.013215859030837005,0.0013236267372600927,0.011892232293576912,0.007259515172286496,15.199928662065904,-74.8663705715193,TGFBR1;SMAD4;SMAD1
PRKX,1,5,0.004405286343612335,0.0011030222810500773,0.003302264062562258,0.25423154482402543,55.000814105236714,-75.32415576309009,SMAD6
OBSCN,1,5,0.004405286343612335,0.0011030222810500773,0.003302264062562258,0.25423154482402543,56.82210455238352,-77.81843093996702,CALM1
EIF2AK3,2,7,0.00881057268722467,0.001544231193470108,0.007266341493754562,0.06532898719633759,29.006836574834768,-79.1399159209649,HSPA5;IKBKB
STK35,3,6,0.013215859030837005,0.0013236267372600927,0.011892232293576912,0.007259515172286496,16.117720915140797,-79.38690329598246,TGFBR1;SMAD4;SMURF1
