TF,Target/Input,Targets/Database,Fraction/Input,Fraction/Database,Difference,P-value,Z-score,Combined Score,Genes
POU2F2,6,1754,0.07228915662650602,0.0842337799548576,-0.011944623328351583,0.7094128525272646,0.5933113771889094,-0.20369424954687504,ARHGAP32;CLEC4B1;GM14446;ELTD1;EYA1;PIRA11
AHR,1,454,0.012048192771084338,0.02180281419584114,-0.0097546214247568,0.8395860883193756,1.1970457741257186,-0.20929897735817096,IFIT2
NR2F1,3,1021,0.03614457831325301,0.049032320030735245,-0.012887741717482235,0.7792207405889212,0.878029915180287,-0.2190341409536945,MEF2C;IFIT3;MOCOS
RORB,3,1020,0.03614457831325301,0.04898429621092062,-0.012839717897667607,0.7786510243955794,0.8780267446470633,-0.21967554162476313,MEF2C;IFIT3;MOCOS
FOXA2,5,1441,0.060240963855421686,0.06920232435287903,-0.00896136049745734,0.688341168869077,0.6345143238068537,-0.23697249533150694,GM14446;CHI3L3;ARHGAP32;CLEC4B1;HOXA5
USF1,5,1219,0.060240963855421686,0.0585410363540316,0.001699927501390086,0.5394899018300284,0.40180770896775647,-0.24796807846842103,EGFL7;CHI3L1;ARHGAP32;TGM2;NKG7
FOXA1,6,1705,0.07228915662650602,0.08188061278394083,-0.009591456157434813,0.6829282128222463,0.8631425679291617,-0.32917282341285725,SDC3;VEGFA;CHI3L3;IFIT2;ISG15;NIACR1
RBPJ,6,1735,0.07228915662650602,0.08332132737837968,-0.011032170751873654,0.6993189492261918,0.9348606991725356,-0.33435138393895586,PHF11;MFGE8;D14ERTD668E;ISG15;TSC22D1;HOMER2
SP1,7,2360,0.08433734939759036,0.11333621476252222,-0.02899886536493186,0.8435261835395614,2.3398631748382526,-0.39816126333029545,EGFL7;NKG7;PDLIM1;CAMP;TSC22D1;HOMER2;PBX3
TP53,4,1266,0.04819277108433735,0.060798155885319116,-0.012605384800981764,0.7501955220346689,1.3968725481908615,-0.40149107792333066,H2-OB;IFI204;LAT2;LTF
MYC,7,1699,0.08433734939759036,0.08159246986505307,0.002744879532537284,0.5212418862152465,0.6182221579761823,-0.40279712754454744,HPGD;PDLIM1;DMWD;LAT2;NGP;WHRN;HOMER2
RELA,5,1656,0.060240963855421686,0.07952744561302406,-0.019286481757602378,0.7987404180739609,1.799529925008179,-0.40438905021620986,RGS8;PKD2L1;CAMP;ETV4;SYNPO
CREB1,3,849,0.03614457831325301,0.04077222302261922,-0.004627644709366212,0.6630021585269406,1.0046835021834375,-0.41290184493672055,DNAJC6;TSC22D1;LTF
NR5A2,6,1748,0.07228915662650602,0.08394563703596984,-0.01165648040946382,0.7062495026735686,1.200992124279676,-0.4176890884708163,EGFL7;NRGN;CD27;LAT2;MX1;HOMER2
SP3,4,1129,0.04819277108433735,0.05421889257071508,-0.006026121486377725,0.6649487466304997,1.0290743116375525,-0.41990895065505707,CAMP;ARHGAP32;DLK1;CTSH
MYB,7,1902,0.08433734939759036,0.09134130528742256,-0.0070039558898322,0.6432137140791,0.9737592909546884,-0.429698785808184,RGS8;CD27;DMWD;CAMP;IGFBP7;TSC22D1;SYNPO
YY1,6,1700,0.07228915662650602,0.0816404936848677,-0.009351337058361678,0.6801430222705358,1.149388859483366,-0.44303443702600176,AIF1;EGFL7;GM5416;VLDLR;KLHL24;TSC22D1
ELK1,7,1727,0.08433734939759036,0.08293713681986266,0.001400212577727697,0.5389736706947893,0.7461984343280871,-0.4612167140310518,ALDH3B1;CLEC4B1;STFA2L1;CAMP;TGM2;WHRN;GPC3
EGR1,6,1617,0.07228915662650602,0.07765451664025357,-0.005365360013747544,0.6317472548931161,1.136307136547302,-0.5218670947050535,SPINT1;PPM1E;MTUS2;TSC22D1;PBX3;SYNPO
