	FileName	Target
GSM230132.CEL	GSM230132 	GFP
GSM230133.CEL	GSM230133 	NHA10
GSM230134.CEL	GSM230134 	NHD13
GSM230135.CEL	GSM230135 	NHD13mut
GSM230136.CEL	GSM230136 	GFP
GSM230137.CEL	GSM230137 	NHA10
GSM230138.CEL	GSM230138 	NHD13
GSM230139.CEL	GSM230139 	NHD13mut
GSM230140.CEL	GSM230140 	GFP
GSM230141.CEL	GSM230141 	NHA10
GSM230142.CEL	GSM230142 	NHD13
GSM230143.CEL	GSM230143 	NHD13mut
