Kinase,Substrates in Input,Substrates in Database,Input Fraction,Database Fraction,Difference,P-value,Z-score,Combined Score,Substrates
MAPK1,31,312,0.5166666666666667,0.06882859033752482,0.4478380763291419,5.007878753825491E-20,-2.25920312084903,100.40054426846895,STAT5A;STAT5B;RARA;MAPK1;JUN;MAPK8;CREBBP;SMAD3;ETS1;ETS2;AR;TP53;MED1;PML;STAT1;STAT3;RPS6KA5;GATA2;CSNK2A1;RELA;EP300;E2F1;FOS;RB1;PRKCD;LCK;NR3C1;CEBPA;CEBPB;SP1;SP3
MAPK3,23,251,0.38333333333333336,0.05537171850871388,0.3279616148246195,8.91051506047116E-14,-2.223845964803472,66.82425678598325,STAT5A;JUN;MAPK8;PTPN11;ETS1;ETS2;AR;TP53;MED1;PML;STAT1;STAT3;RPS6KA5;RUNX2;FOS;PRKCD;LCK;NR3C1;NFATC1;CEBPA;CEBPB;SP1;SP3
CSNK2A1,25,521,0.4166666666666667,0.11493492168541805,0.30173174498124866,4.101646548188475E-9,-2.158361397624821,41.682010580859256,MAPK1;JUN;SPI1;TP53;PML;RPS6KA5;CSNK2A1;RELA;SMARCA4;VDR;HDAC3;HDAC2;HDAC1;NR3C1;NFATC1;PIAS1;CREBBP;NFKB1;STAT1;CALM1;HSP90AB1;FOS;SP1;IRF1;IRF2
MAPK14,22,461,0.36666666666666664,0.10169865431281712,0.26496801235384954,5.875621302448701E-8,-2.3114581680334543,38.485475548584944,MAPK1;JUN;AR;TP53;PML;RPS6KA5;CSNK2A1;RELA;E2F1;RB1;NR3C1;STUB1;NFATC1;RARA;SMAD3;ETS1;ETS2;NCOR1;MED1;STAT1;STAT3;FOS
PRKCD,13,146,0.21666666666666667,0.032208250606662256,0.1844584160600044,7.921417297292201E-8,-2.040934699187579,33.371548998809764,MAPK1;EP300;MAPK8;SRC;RUNX2;CREBBP;TP53;PRKCD;LCK;TRIM28;STAT1;STAT3;FYN
CHUK,10,90,0.16666666666666666,0.01985440105890139,0.14681226560776528,4.646688557184028E-7,-1.8556519787887744,27.05900734331878,HSP90AB1;NFKB1;RELA;TP53;PIAS1;SRC;CREBBP;PTPN11;NCOR1;CALM1
PDGFRA,7,31,0.11666666666666667,0.006838738142510479,0.1098279285241562,4.175773159763973E-7,-1.7202802509690898,25.26884587890111,STAT5A;STAT5B;SRC;STAT1;PRKCD;STAT3;PTPN11
RPS6KA5,7,37,0.11666666666666667,0.00816236487977057,0.1085043017868961,1.1928721476927306E-6,-1.6980759737720468,23.160307126099372,CEBPB;RELA;CREBBP;STAT1;STAT3;RPS6KA5;EP300
MAPK8,14,275,0.23333333333333334,0.06066622545775425,0.1726671078755791,1.387292238050333E-5,-1.9342800309764923,21.636027873562288,STAT5B;RARA;MAPK1;JUN;SMAD3;AR;TP53;STAT1;STAT3;SRC;NR3C1;NFATC1;CEBPB;SP1
GSK3B,21,600,0.35,0.13236267372600927,0.2176373262739907,1.837176211491774E-5,-1.8847669589450766,20.552810227772206,JUN;MAPK8;AR;TP53;SFPQ;CSNK2A1;RELA;E2F1;RB1;NR3C1;STUB1;CEBPA;CEBPB;STAT5B;RARA;ETS1;NCOR1;NFKB1;STAT1;STAT3;SRC
PDGFRB,7,62,0.11666666666666667,0.013677476285020957,0.10298919038164571,2.6041894424657836E-5,-1.5075620581949747,15.913529593148402,STAT5A;STAT5B;SRC;STAT1;STAT3;PTPN11;FYN
LCK,10,161,0.16666666666666666,0.035517317449812486,0.13114934921685417,5.90337912301752E-5,-1.6055603638525882,15.633984362478225,STAT5A;MAPK1;SRC;PTPN11;PRKCD;LCK;NR3C1;STAT1;STAT3;FYN
PTK2,8,95,0.13333333333333333,0.020957423339951466,0.11237590999338187,4.745954715803139E-5,-1.4489920125530749,14.425632477463294,TP53;LCK;PIAS1;SRC;SUMO1;STAT1;PTPN11;FYN
CDK9,6,38,0.1,0.008382969335980588,0.09161703066401941,1.8499456478295295E-5,-1.2929554118205764,14.090329671492434,NFKB1;AR;RELA;TP53;SMAD3;RB1
TAF1,6,42,0.1,0.009265387160820648,0.09073461283917936,3.088270459877788E-5,-1.321245490868019,13.72154962734404,TBP;FOS;RELA;TP53;RB1;JUN
SRC,14,346,0.23333333333333334,0.07632914184866535,0.157004191484668,1.5879441497114948E-4,-1.4618771334964946,12.78835523921765,STAT5A;STAT5B;PTPN11;ETS1;ETS2;AR;STAT1;STAT3;FYN;SFPQ;SRC;HSP90AB1;PRKCD;LCK
PRKCZ,8,104,0.13333333333333333,0.022942863445841608,0.11039046988749172,8.659758447373789E-5,-1.365553706873715,12.773715243958529,RELA;MAPK1;SRC;CREBBP;PRKCD;STAT3;SP1;FYN
HIPK2,6,43,0.1,0.009485991617030664,0.09051400838296934,3.4837310157239395E-5,-1.2016348818098592,12.334567707599824,PML;SUMO1;CREBBP;TP53;UBE2I;EP300
