TF,Target/Input,Targets/Database,Fraction/Input,Fraction/Database,Difference,P-value,Z-score,Combined Score,Genes
USF1,58,1219,0.07631578947368421,0.0585410363540316,0.01777475311965261,0.028175116638557048,-1.0569536386360392,3.7726016174326737,ELF2;6030468B19RIK;CSNK1E;BPGM;BEX6;IKBKG;DNAJB6;HDAC7;E2F8;RNF103;IRF2BP2;MAN2A2;IL6ST;EIF1AX;ABCB10;KRT18;CATSPER2;ERMP1;STK17B;RAP1GAP2;SASH3;ZFP41;PPFIA1;MKRN1;DDX26B;NAPSA;UBE2E2;TBCEL;UBE2H;ARHGAP25;PTPRS;MAP2K3;TGFBR3;MAGEH1;GPR97;LIMD2;LYSMD3;YOD1;H2-EA-PS;NCOA7;CHDH;MTHFD2L;ANXA3;CDC25B;DAB2IP;FCGR3;FAM129C;YPEL5;BCAS3;NUPR1;PROKR1;CPD;MAFG;PSMB9;ACVR1B;CTTN;RAMP1;SQRDL
TP53,60,1266,0.07894736842105263,0.060798155885319116,0.01814921253573351,0.027631728567470832,-0.9264608904960077,3.3248741172442733,2310003H01RIK;CRTAP;PIK3CD;BTBD9;ARIH2;USP11;PTOV1;WHSC1L1;USP45;ATAT1;TMEM167B;FBXO42;CDKN1A;GRINA;DNAJB6;SLC1A5;UBAP1;SFI1;HIF3A;APOA1BP;ACAP1;CLCN3;PRTN3;RC3H2;ITGB5;ZFP148;EIF4H;FOS;CDK12;UBE2O;TNRC6B;TUBB2A;CCDC86;TTC28;SHMT1;TTC14;SELL;BTRC;CCNG1;PCYT1B;ARMC9;PTDSS2;SGK3;LCOR;IFI204;RAVER1;DCLRE1B;PXN;CLEC1B;YPEL5;BCAS3;MICALL2;SLC4A1;FAM82A1;LMBR1;NINJ1;RNF10;HIPK1;DHRS11;SLC6A9
IKZF1,76,1674,0.1,0.08039187436968737,0.01960812563031264,0.03304612780852619,-0.9470356137559126,3.22925022206153,LFNG;HTATIP2;LRRC33;SERPINB1A;DUSP8;JDP2;TACC3;FN3K;CDKN1A;HDAC7;STXBP1;RNF125;CNNM3;BSDC1;ACAP1;TMEM229B;FAM65B;ZFP710;TMEM176A;MKRN1;TOR1AIP2;FECH;NAPSA;PPOX;IBTK;NCF4;TM6SF1;GPR97;EIF5A2;GLIPR2;BBIP1;CTPS2;INPP4A;PDGFRB;PXN;HOXA10;CAMKK2;CDR2;XKR5;NUPR1;SLC4A1;SATB1;LMBR1;HOXA9;PTPN6;PARD6G;RAMP2;FTL1;MTHFR;GMFG;NFIA;RREB1;PTP4A3;GPSM3;AFAP1L1;HPCAL1;TUBB1;ZDHHC21;TCN2;UBE2H;UBE2C;EYA4;MARCKS;RASSF3;KCNA3;ARMC9;YOD1;SGK3;LCOR;VPREB1;CDC25B;GCNT2;THBS1;ELK3;LAPTM5;SLC6A9
ELK1,79,1727,0.10394736842105264,0.08293713681986266,0.021010231601189977,0.02603974381314671,-0.8510268517907271,3.104657695068834,MAP3K5;ARIH2;WHSC1L1;MDFIC;ZFP688;UBE2V2;E2F2;2010109K11RIK;PLD3;ACAP1;HOPX;CHST10;ZFP710;RC3H2;PDGFC;NAPSA;TBCEL;ARHGAP25;B230312A22RIK;TXNIP;SMOX;PTPRS;TM6SF1;SIK2;LIMD2;SHMT1;CAPN2;BNIP3L;D5ERTD579E;TRAF4;SMC6;COTL1;ADD2;PXN;HOXA10;TMOD1;CAMKK2;GEN1;CIR1;XKR5;SOCS2;GABARAPL2;TBC1D24;NFIA;RREB1;F5;HSPBAP1;PPP2R3A;PABPC4;UNC119;ARL4A;ACSL6;FNDC3B;ABCA2;EHBP1L1;PRTN3;CAST;ASB1;ZC3H3;SORL1;CCDC69;EPB4.1L2;JHDM1D;STX3;PDE10A;PLEKHG2;TTC14;TIMP2;ANO6;SGK3;CPSF6;GALNT6;FAM102B;EMB;1110008P14RIK;MCPT8;MICALL2;ZFAND5;SOX6
ETS1,75,1681,0.09868421052631579,0.08072804110838976,0.017956169417926035,0.04641978661104717,-0.8967434540688872,2.7530288355629255,ORAI2;HTATIP2;USP11;USP15;CSNK1E;IFITM2;CCL9;UBE2V2;FBXO42;MYO1G;GRINA;RNF103;SPINT2;SELPLG;CNNM3;ALKBH5;CREB3L2;TMEM229B;FAM65B;ATP6V0A1;PYCR2;HS6ST1;CCND3;EIF5A2;NSD1;SIX5;TRAF4;HEXB;HDC;TSEN34;GAB3;ADD2;TRIO;FAM129C;GADD45A;CNP;RNF38;UBAC2;MFAP3L;TBC1D24;TTC39A;DAPK1;HIPK1;MTHFR;PIK3CD;SPTY2D1;CYBA;CLCN3;ZDHHC20;DNTT;CYFIP2;CCDC50;SYNJ1;SERTAD2;MXD4;PLEKHG2;ANK1;NUDT4;HHEX;TIMP2;PDE7A;MYH10;ANO6;ZFYVE27;ARPC5L;CHDH;ANXA3;ANXA2;EMB;S100A10;MAP4K5;CDKL1;COQ10A;GRCC10;SLC6A9
RELA,76,1656,0.1,0.07952744561302406,0.02047255438697594,0.02699524081881247,-0.7608739039517787,2.748348591635844,BTBD2;BRAF;ARIH1;KBTBD8;DUSP8;JDP2;SPATA13;H2-K1;HIF3A;TMEM229B;TYROBP;SPECC1;ZFP710;ZFP64;TOR1AIP2;CSF1R;1110003E01RIK;PPOX;TUBB2A;SIK2;GLIPR2;IQGAP2;CAMTA1;RHOJ;CSF2RB;UGT8A;TSEN34;NDOR1;TRAK2;TMEM185B;FAM129B;SATB1;LMBR1;NINJ1;TBC1D24;PARD6G;GMFG;PIK3CD;BCL2L1;ACSL6;STRADB;ATAT1;ABCA2;NR4A2;EBF1;EIF1AX;ETS1;RAB3A;PRTN3;RAB44;ULK2;SLAIN1;FAM134B;TRA2B;IRF1;CCDC86;MARCKSL1;TTC28;SERTAD2;WDR26;SLC2A4;SGK3;BANP;ZFYVE27;LCOR;VPREB1;VIM;PNPO;MTHFD2L;HOMER1;YPEL2;PSMB8;NXN;UCP2;CD24A;TPM4
NR2E3,9,139,0.011842105263157895,0.006675310954233299,0.005166794308924596,0.07839896147293053,-1.0784108803559558,2.7455743555171352,BRAF;NCF4;CRTAP;GPR146;SESN1;NR4A2;MARCKSL1;H2-K1;TMEM8
RUNX2,76,1750,0.1,0.0840416846755991,0.01595831532440091,0.0710789830845904,-0.9535416781345595,2.521129471317084,SIPA1L1;GKAP1;ALOX12;LRRC33;WHSC1L1;RNF135;SPATA13;CCL9;CCL6;CDKN1A;BEX6;FBXO34;HDAC7;RNF103;SPINT2;STXBP1;APOA1BP;TMEM229B;TYROBP;GPR171;CD27;ZFP60;MFGE8;CD93;GPR65;SHMT1;IQGAP2;GM5595;ATG4D;GPCPD1;PDGFRB;ADD2;CDV3;LGALS3;GYPA;FAM129C;PLEK2;MAFG;PIGA;HIPK2;PLAC8;CRTAP;PIK3IP1;SERPINF1;PPP2R3A;BNIP2;ACSL6;ATAT1;IKBKG;RIT1;RAB44;BCL2;ZDHHC20;RAB37;AGFG2;EVI2A;SCIN;CCDC157;FNBP1;DEPTOR;PDE4B;NUDT6;DCAF12;CHDH;ANXA3;IFI204;DAB2IP;GCNT2;HOMER1;PON2;RPH3AL;LAPTM5;NDRG1;UCP2;CTSG;RGS19
NFATC3,76,1801,0.1,0.08649089948614513,0.013509100513854871,0.11030208807595837,-1.139131946882028,2.5112533098634127,GDA;TMEM8;TMEM167B;RNF135;SERPINB6A;ST8SIA4;FBXO30;E2F2;CEBPD;ERMP1;CD69;ATP6V0E2;ZFP710;HCLS1;ZFP60;RC3H2;SLC25A37;TBC1D10C;TIPARP;RPTOR;3010026O09RIK;GPR65;HMGCR;BMP2K;CAMTA1;CCNG1;SESN1;DOCK8;CRBN;HEXB;CSF2RB;PDLIM7;PCF11;FCGR3;LOR;HOXC5;SATB1;SOCS5;LMBR1;HOXA5;PRAMEF8;GABARAPL2;PIGA;MECOM;BCL2L1;MAB21L2;1110021L09RIK;LMO4;TUBB1;SCAI;RAB44;CASK;1110018G07RIK;EIF4H;KLHL25;UBE2H;UBE2C;OXCT1;BRPF3;SWAP70;ANK1;SIGLEC5;GALNT6;MTHFD2L;CDC25B;AW112010;PGM2;GCNT2;TMCC2;GCNT1;ABCG1;ZCCHC24;AFF3;MAP4K5;ZFAND5;CTSG
NFKB1,140,3284,0.18421052631578946,0.15771022427123854,0.026500302044550922,0.029558296696843685,-0.6967762156925316,2.4536213600964065,ORAI2;LASP1;6030468B19RIK;JDP2;TMEM167B;IFITM2;STXBP1;1110038D17RIK;IL6ST;GPR137;GPR146;CPEB4;NEO1;FCGR2B;ZFP60;SLC25A23;PDGFC;NAPSA;1110003E01RIK;ZMIZ1;ACP5;IL18BP;IQGAP2;CAMTA1;CTPS2;HDC;CSF2RB;CAMKK2;FAM129B;PLEK2;ELMOD3;XKR5;SATB1;SOCS2;GSN;FTL1;GMFG;NFIA;PTP4A3;PNPLA6;NR4A2;EHBP1L1;CYBA;XK;ETS1;PRTN3;FUT4;CYFIP2;SORL1;KLHL25;TUBA1A;PRKCD;OXCT1;IRF1;FNBP1;DEPTOR;MARCKS;SYNJ1;GALNT10;SWAP70;RASSF3;RASSF5;ST3GAL2;ANK1;ST3GAL5;GPC4;SGK3;VPREB1;IGF1R;H2AFY;TTPAL;RBM38;YPEL2;LAPTM5;PSME4;RASGRP2;SIPA1L1;ARIH2;GKAP1;NFKBIZ;ALOX12;TMEM2;DUSP8;MYO1G;IMPA2;H2-K1;PKLR;H2-M3;CEBPD;ALKBH5;APOE;PLD3;RAP1GAP2;ATP6V0E2;HOPX;F13A1;FECH;PACS2;TBC1D10C;ZFP148;CDK12;PANK1;SIK2;GLIPR2;UGT8A;TSEN34;GAB3;MUC13;PCF11;TRIO;SLC19A2;CIR1;CNP;RNF38;UBAC2;RAMP1;CALD1;RREB1;UNC119;ATAT1;FNDC3B;DNAJB2;CLCN3;SCAI;RAB37;TMEM71;FAM134B;CCDC50;PCDH17;PDE10A;GRASP;MFSD6;TTC30A1;CBFB;PDE5A;ANXA4;DAB2IP;S100A10;THRA;TPM4
