Kinase,Substrates in Input,Substrates in Database,Input Fraction,Database Fraction,Difference,P-value,Z-score,Combined Score,Substrates
BTK,2,59,0.01818181818181818,0.013015662916390912,0.005166155265427269,0.4264412397007048,9.667659931052084,-8.239559923235161,RELA;TP53
PRKACB,4,120,0.03636363636363636,0.026472534745201854,0.009891101618434508,0.33836806757833077,7.8013852200342715,-8.453744999020264,SMAD3;SMAD2;EGR1;TP53
MAP3K14,7,145,0.06363636363636363,0.03198764615045224,0.03164871748591139,0.06770765426765793,3.1960524207510557,-8.605550262095962,MAPK3;TUBB;TRAF6;NFKB2;HSP90AA1;HSPA8;SFPQ
TYK2,1,30,0.00909090909090909,0.0066181336863004635,0.002472775404608627,0.5256073778157545,13.469455538115831,-8.663564240541152,STAT1
PRKCB,11,283,0.1,0.06243106110743437,0.037568938892565636,0.08660022846050024,3.6877696795438237,-9.021954551594897,CTNNB1;NFKB2;TP53;STAT3;ATF2;RB1;HMGA1;PRKDC;CEBPB;CREB1;SP4
IGF1R,5,144,0.045454545454545456,0.03176704169424222,0.013687503760303234,0.2775834406512258,7.0613972027343035,-9.050124652083662,ETS1;ESR1;UBC;MDM2;STAT3
PRKD1,5,54,0.045454545454545456,0.011912640635340834,0.03354190481920462,0.012349703209680265,2.0601436102738795,-9.052524931714684,CTNNB1;JUN;MAPK8;CREB1;ABL1
ADRBK1,5,56,0.045454545454545456,0.012353849547760865,0.03310069590678459,0.014139798135873946,2.144980338582897,-9.13496053088197,ARRB1;MAPK3;MDM2;UBB;MAPK14
CAMK4,5,25,0.045454545454545456,0.005515111405250386,0.03993943404929507,6.051776376044043E-4,1.2811956236072612,-9.493644871971116,RELA;CREB1;CREBBP;HDAC4;EP300
RET,5,40,0.045454545454545456,0.008824178248400618,0.036630367206144834,0.003913763812345846,1.7189546656347854,-9.528605344832988,STAT3;MAPK1;MAPK14;MAPK3;MAPK8
RIPK1,5,54,0.045454545454545456,0.011912640635340834,0.03354190481920462,0.012349703209680265,2.1770831454563124,-9.566371661846944,NFKB1;HSP90AA1;TUBB;SQSTM1;HSPA8
CAMK2G,5,40,0.045454545454545456,0.008824178248400618,0.036630367206144834,0.003913763812345846,1.7366389784703156,-9.626634013752016,CEBPB;CREB1;SMAD4;SMAD3;STAT1
SRC,13,346,0.11818181818181818,0.07632914184866535,0.04185267633315283,0.08024426545017788,3.8649077964139815,-9.749925515177718,CTNNB1;ETS1;AR;STAT1;STAT3;SFPQ;ARRB1;SRF;TRAF6;ABL1;HSP90AA1;ESR1;ESR2
HCK,3,77,0.02727272727272727,0.01698654312817119,0.010286184144556083,0.294350922355126,7.976576999795609,-9.755214957923156,ARRB1;STAT3;ABL1
CSNK2B,5,43,0.045454545454545456,0.009485991617030664,0.035968553837514794,0.005185682064925215,1.8610195624163015,-9.792413042776602,CTNNB1;CSNK2A1;ESR1;TP53;BRCA1
ZAP70,2,51,0.01818181818181818,0.011250827266710787,0.006930990915107394,0.3589574943197761,9.60065192356468,-9.836360387315167,TUBB;MAPK14
CDK5,5,103,0.045454545454545456,0.02272225898963159,0.022732286464913865,0.11201013324003332,4.49679953838099,-9.844240372342963,CTNNB1;ABL1;MYC;TP53;STAT3
MAP3K3,8,193,0.07272727272727272,0.04257666004853298,0.030150612678739745,0.10248305084102413,4.347564818921785,-9.904004171629467,PFDN5;TUBB;TRAF6;BRCA1;HSP90AA1;UBC;UBB;HSPA8
PTK2,4,95,0.03636363636363636,0.020957423339951466,0.015406213023684896,0.20678861929934148,6.308283223411521,-9.942221314596027,TP53;PIAS1;SUMO1;STAT1
