	FileName	Target
GSM610615.CEL	GSM610615.CEL	HSC
GSM610616.CEL	GSM610616.CEL	HSC
GSM610617.CEL	GSM610617.CEL	HSC
GSM610618.CEL	GSM610618.CEL	GMP
GSM610619.CEL	GSM610619.CEL	GMP
GSM610620.CEL	GSM610620.CEL	GMP
GSM610621.CEL	GSM610621.CEL	GMP
GSM610626.CEL	GSM610626.CEL	NHA9GMP
GSM610627.CEL	GSM610627.CEL	NHA9GMP
GSM610628.CEL	GSM610628.CEL	NHA9GMP
GSM610633.CEL	GSM610633.CEL	GMPGFP
GSM610634.CEL	GSM610634.CEL	GMPGFP
GSM610635.CEL	GSM610635.CEL	GMPGFP
