Term	P-value	Genes
HMDB09788	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09787	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09782	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09781	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09784	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09783	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09780	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09779	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09778	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
HMDB09790	0.01861560842419747	ATP10A,ATP10D,PTEN,PLCB3,PIGL,PLCB4,PIGM,PIGF,PIK3C3,ATP8B2,PITPNC1,PIGA,ATP8B4,PIK3CG,PIGY,INPPL1,PIGX,PIK3CB,PIGV,PIK3CD,PIGU,PIGT,PIGQ,INPP5D,PLTP,ATP11B,TMEM55A,PLSCR1,PLCG1,PLSCR3,PLCXD2,ATP8A1
