Kinase,Substrates in Input,Substrates in Database,Input Fraction,Database Fraction,Difference,P-value,Z-score,Combined Score,Substrates
DYRK3,2,4,0.009900990099009901,8.824178248400617E-4,0.009018572274169839,0.024250064195769264,30.202380952380956,-112.33280319542769,CREB1;SIRT1
GUCY2C,1,4,0.0049504950495049506,8.824178248400617E-4,0.004068077224664889,0.1959412549891918,70.1111111111111,-114.2769313754801,SRC
PAK6,2,3,0.009900990099009901,6.618133686300463E-4,0.009239176730379856,0.01663029617886962,28.63660812726567,-117.3107006956499,AR;ESR1
MAP3K6,2,4,0.009900990099009901,8.824178248400617E-4,0.009018572274169839,0.024250064195769264,33.89225565157953,-126.05668705261033,MAPK14;MAPK8
SNRK,1,3,0.0049504950495049506,6.618133686300463E-4,0.004288681680874904,0.16007906322940932,69.21286486339143,-126.80402044513541,JUN
TRIM33,1,2,0.0049504950495049506,4.4120891242003087E-4,0.004509286137084919,0.12262563514251822,60.896878206365386,-127.79935670090391,SMAD4
MOK,2,3,0.009900990099009901,6.618133686300463E-4,0.009239176730379856,0.01663029617886962,31.586143341970573,-129.39355775839257,JUN;MYC
RNASEL,1,3,0.0049504950495049506,6.618133686300463E-4,0.004288681680874904,0.16007906322940932,78.95949126055721,-144.66069225574,AR
LYK5,1,2,0.0049504950495049506,4.4120891242003087E-4,0.004509286137084919,0.12262563514251822,70.90528016840754,-148.80318103519227,SMAD4
ICK,1,3,0.0049504950495049506,6.618133686300463E-4,0.004288681680874904,0.16007906322940932,83.26288226469948,-152.54488086648044,SMAD1
TAOK1,1,2,0.0049504950495049506,4.4120891242003087E-4,0.004509286137084919,0.12262563514251822,79.48314501959094,-166.8048527487013,MAP2K3
STK17A,1,2,0.0049504950495049506,4.4120891242003087E-4,0.004509286137084919,0.12262563514251822,106.6727562364305,-223.86549238747617,TP53
TAF1L,1,1,0.0049504950495049506,2.2060445621001543E-4,0.004729890593294935,0.08351073297983339,91.99570928209528,-228.4051178277668,TBP
PRP4,1,1,0.0049504950495049506,2.2060445621001543E-4,0.004729890593294935,0.08351073297983339,102.99659596553568,-255.71790055153826,ELK1
MAST4,1,1,0.0049504950495049506,2.2060445621001543E-4,0.004729890593294935,0.08351073297983339,107.9275119053847,-267.96028060413954,SMAD1
