Term	P-value	Genes
GPCRPATHWAY	0.20466734888142366	FOS,PRKAR2A,PPP3CC,PRKACB,PPP3CA,NFATC2,NFATC3,NFATC1,CREB1,RPS6KA3,PLCG1,GNB1,PRKAR1B,CALM3,CALM2
SETPATHWAY	0.20788386290113853	HMGB2,NME1,GZMA,CREBBP,ANP32A,APEX1
NDKDYNAMINPATHWAY	0.21459663645060437	SYNJ1,EPS15,AP2A1,NME1,CALM3,PPP3CC,PPP3CA,CALM2,EPN1
HDACPATHWAY	0.2182880952589598	MEF2C,MEF2A,IGF1R,PPP3CC,PPP3CA,NFATC2,INSR,PIK3R1,NFATC1,IGF1,MAPK14,CALM3,CALM2
FEEDERPATHWAY	0.23283584765233464	KHK,TPI1,MPI,PYGL,PGM1
CDC25PATHWAY	0.23283584765233464	CHEK1,CDC25C,CDC25A,WEE1,ATM
STRESSPATHWAY	0.23308585056943418	MAP4K2,NFKBIA,MAP3K1,CHUK,MAP2K3,RIPK1,MAPK14,IKBKG,MAPK8,IKBKB,MAP3K14
G1PATHWAY	0.24011844043835714	E2F1,CCNE1,TFDP1,SKP2,CDK6,ATR,CDK4,ATM,CDC25A,CDKN1A,DHFR,GSK3B
NKCELLSPATHWAY	0.24917585098308104	PTPN6,IL18,VAV1,ITGB1,LAT,PTK2B,KLRD1,PIK3R1,SYK
IL2RBPATHWAY	0.2556122012285814	E2F1,STAT5B,RPS6KB1,BCL2L1,FOS,BCL2,IL2RG,MYC,PIK3R1,SYK,PTPN6,CFLAR,IL2RB,BAD,JAK1
NFKBPATHWAY	0.25762754356506423	NFKBIA,FADD,MYD88,RIPK1,MAP3K1,IKBKG,TNFAIP3,IKBKB,MAP3K14,CHUK
REELINPATHWAY	0.26273238289840894	FYN,RELN,LRP8,VLDLR
CD40PATHWAY	0.2665683717885299	NFKBIA,MAP3K1,IKBKG,IKBKB,TNFAIP3,MAP3K14,CHUK
HIFPATHWAY	0.2665683717885299	P4HB,LDHA,COPS5,VHL,CREB1,HIF1A,ASPH
CCR5PATHWAY	0.2772016873500019	CXCL12,FOS,PLCG1,PTK2B,MAPK14,CALM3,MAPK8,CALM2
SKP2E2FPATHWAY	0.2847393892806043	E2F1,CCNE1,SKP2,SKP1A,TFDP1
SARSPATHWAY	0.2847393892806043	LDHA,CKM,EIF4E,MAPK14,FBL
NTHIPATHWAY	0.2920203251287822	MAP2K3,CREBBP,TGFBR2,NFKBIA,NR3C1,MYD88,MAPK14,IKBKB,MAP3K14,CHUK
RBPATHWAY	0.2993112995728624	CHEK1,CDC25C,CDK4,ATM,CDC25A,WEE1
IL10PATHWAY	0.2993112995728624	STAT1,STAT3,IL10RB,IL10RA,HMOX1,JAK1
P53PATHWAY	0.3096244502555022	E2F1,CDK4,ATM,CCNE1,CDKN1A,BCL2,APAF1
RELAPATHWAY	0.3096244502555022	CREBBP,NFKBIA,FADD,RIPK1,IKBKG,IKBKB,CHUK
PITX2PATHWAY	0.3096244502555022	LDB1,CREBBP,FZD1,LEF1,CTNNB1,DVL1,GSK3B
SHHPATHWAY	0.3096244502555022	SHH,SUFU,SMO,PRKAR2A,GSK3B,PRKAR1B,PRKACB
RAC1PATHWAY	0.323047399320584	RALBP1,PPP1R12B,ARFIP2,RPS6KB1,VAV1,MAP3K1,CFL1,PDGFRA,PIK3R1
TERTPATHWAY	0.32432196363101645	SP1,SP3,MYC,WT1
VEGFPATHWAY	0.33110854225863007	PXN,EIF2B3,PIK3R1,VHL,EIF1A,EIF2B1,KDR,HIF1A,PLCG1,EIF2S1,EIF2S2
TOLLPATHWAY	0.3380100383644984	TIRAP,TLR3,NFKBIA,FOS,MYD88,MAP3K1,CHUK,MAP2K3,MAPK14,IKBKG,MAPK8,MAP3K14,IKBKB,CD14
FMLPPATHWAY	0.3380100383644984	GNA15,FPR1,NFKBIA,MAP3K1,PPP3CC,PPP3CA,NFATC2,NFATC3,NFATC1,MAP2K3,GNB1,MAPK14,CALM3,CALM2
MONOCYTEPATHWAY	0.33849184817336103	ICAM1,SELP,ITGA4,ITGB1,ITGAM
TCAPOPTOSISPATHWAY	0.33849184817336103	CD3G,CD3D,CD3E,CD4,CD28
KERATINOCYTEPATHWAY	0.3415143188479743	NFKBIA,FOS,MAP3K1,BCL2,HOXA7,CHUK,MAP2K3,PRKCE,PRKCD,SP1,ETS1,MAPK13,MAPK14,RIPK1,MAPK8,MAP3K14,IKBKB
ARENRF2PATHWAY	0.3476185610180394	MAFG,CREB1,FOS,MAPK14,MAPK8,NFE2L2
CACAMPATHWAY	0.3476185610180394	CREB1,CAMKK1,CAMKK2,CAMK2D,CALM3,CALM2
IL17PATHWAY	0.3538671727760497	CD3G,CD3D,CD8A,CD3E,CD34,CD2,CD4
MPRPATHWAY	0.3615274151434818	CDC25C,PIN1,CCNB1,PRKAR2A,RPS6KA1,GNB1,PRKAR1B,PRKACB,CAP1
NFATPATHWAY	0.3686128935327603	MEF2C,RPS6KB1,PRKAR2A,PRKACB,MAPK8,PPP3CC,PPP3CA,NFATC2,NFATC3,PIK3R1,NFATC1,CSNK1A1,CREBBP,IGF1,MAPK14,GSK3B,PRKAR1B,CALM3,CALM2
SLRPPATHWAY	0.3750564784332544	FMOD,BGN,DCN
LDLPATHWAY	0.3750564784332544	LDLR,CSF1,ACAT1
BETAOXIDATIONPATHWAY	0.3750564784332544	ACADS,ECHS1,ACAT1
NOTCHPATHWAY	0.3750564784332544	PSEN1,ADAM17,DLL1
TCRMOLECULE	0.3750564784332544	CD3G,CD3D,CD3E
FBW7PATHWAY	0.3866746011138228	E2F1,CCNE1,SKP1A,TFDP1
IFNAPATHWAY	0.3866746011138228	JAK1,STAT1,IFNAR1,STAT2
41BBPATHWAY	0.39866194352563894	NFKBIA,ATF2,MAPK14,MAP3K1,MAPK8,IKBKB,CHUK
PGC1APATHWAY	0.40048986698725997	MEF2C,ESRRA,MEF2A,SLC2A4,CAMK2D,CALM3,PPP3CC,PPP3CA,CALM2
PDGFPATHWAY	0.4006807054546014	PDGFA,FOS,MAP3K1,PIK3R1,STAT1,STAT3,PLCG1,PDGFRA,JAK1,MAPK8
GSK3PATHWAY	0.4006807054546014	TIRAP,CTNNB1,MYD88,LBP,PIK3R1,FZD1,LEF1,DVL1,GSK3B,CD14
GLEEVECPATHWAY	0.44148620880152206	STAT5B,STAT1,FOS,MAP3K1,BCL2,MAPK8,MYC,PIK3R1
IL2PATHWAY	0.44148620880152206	IL2RB,STAT5B,FOS,LCK,JAK1,MAPK8,IL2RG,SYK
TIDPATHWAY	0.44341045895782166	NFKBIA,HSPA1A,WT1,IKBKB,IFNGR2,IFNGR1,DNAJA3
HCMVPATHWAY	0.4452617023744167	MAP2K3,CREB1,SP1,MAP3K1,MAPK14,PIK3R1
HSP27PATHWAY	0.4452617023744167	CYCS,MAPKAPK3,CASP3,BCL2,HSPB1,APAF1
ARFPATHWAY	0.4452617023744167	E2F1,POLR1D,POLR1C,POLR1B,MYC,PIK3R1
CARM1PATHWAY	0.4469379906994682	PRKAR2A,CREB1,PRKAR1B,CREBBP,PRKACB
CBLPATHWAY	0.4469379906994682	SH3GLB1,MET,PDGFRA,SH3KBP1,CSF1R
IL22BPPATHWAY	0.4469379906994682	IL10RA,STAT5B,JAK1,STAT1,STAT3
FREEPATHWAY	0.4482101024994828	GSS,XDH,GSR,SOD1
SODDPATHWAY	0.4482101024994828	BAG4,RIPK1,FADD,BIRC3
LEPTINPATHWAY	0.4482101024994828	PRKAG1,LEPR,PRKAB2,ACACA
ETCPATHWAY	0.4482101024994828	GPD2,UQCRC1,CYCS,SDHD
EPHA4PATHWAY	0.4482101024994828	SELP,FYN,ITGA1,ITGB1
NKTPATHWAY	0.4743137565490479	CCR1,CXCR3,CD4,IFNGR2,IFNGR1,CD28,IL18R1,CCR7,CCR3,CCR2
TNFR1PATHWAY	0.4743137565490479	LMNB1,LMNB2,BAG4,CASP3,PAK2,MAP3K1,MADD,FADD,RIPK1,MAPK8
WNTPATHWAY	0.47830246208696975	BTRC,CTNNB1,MYC,CSNK1A1,NLK,CREBBP,FZD1,DVL1,GSK3B
MTORPATHWAY	0.48268231644812565	RPS6KB1,PTEN,EIF4EBP1,EIF4E,EIF4A2,EIF4A1,TSC2,PIK3R1
CASPASEPATHWAY	0.48268231644812565	LMNB1,LMNB2,CYCS,BIRC3,BIRC2,CASP3,CASP7,APAF1
IL12PATHWAY	0.48268231644812565	IL18R1,CD3G,CD3D,CD3E,IL18,CXCR3,MAPK14,MAPK8
PTDINSPATHWAY	0.48268231644812565	PFKP,RPS6KB1,BAD,VAV2,PRKCE,PLCG1,AP2A1,GSK3B
RACCYCDPATHWAY	0.48268231644812565	E2F1,NFKBIA,CDK6,CDK4,CCNE1,CDKN1A,PIK3R1,TFDP1
P53HYPOXIAPATHWAY	0.4875680064899659	CSNK1A1,HSPA1A,ATM,CDKN1A,HIF1A,MAPK8,IGFBP3
ERK5PATHWAY	0.49313367370907984	MEF2C,MEF2A,RPS6KA1,PLCG1,CREB1,PIK3R1
NO2IL12PATHWAY	0.49313367370907984	CD3G,CD3D,CD3E,CXCR3,CD2,CD4
DREAMPATHWAY	0.49966180896072937	CREB1,FOS,PRKAR2A,PRKAR1B,PRKACB
METPATHWAY	0.5003629359815688	PTEN,ITGB1,PXN,FOS,PTK2B,PIK3R1,MET,ITGA1,HGF,STAT3,PTPN11,MAPK8
BLYMPHOCYTEPATHWAY	0.5076539982138424	PTPRC,ICAM1,CR2,FCGR2B
SRCRPTPPATHWAY	0.5076539982138424	CCNB1,CSK,CDC25C,CDC25A
IL4PATHWAY	0.5076539982138424	STAT6,JAK1,RPS6KB1,IL2RG
EIF2PATHWAY	0.5076539982138424	GSK3B,EIF2S1,EIF2S2,EIF5
AKAP13PATHWAY	0.5076539982138424	PRKAR2A,PRKAG1,AKAP13,PRKACB
CREBPATHWAY	0.5164400555387001	PRKAR2A,CAMK2D,PRKACB,PIK3R1,CREB1,RPS6KA5,RPS6KA1,MAPK14,PRKAR1B
PLCPATHWAY	0.5181258521412236	PLCG1,VAV1,PIK3R1
EIF4PATHWAY	0.5230672835493878	RPS6KB1,PTEN,EIF4EBP1,EIF4E,EIF4A2,MAPK14,EIF4A1,PIK3R1
PAR1PATHWAY	0.5306554093728756	GNA13,F2RL3,ARHGEF1,PPP1R12B,GNB1,PTK2B,PIK3R1
MEF2DPATHWAY	0.5306554093728756	HDAC2,CALM3,PPP3CC,PPP3CA,NFATC2,CALM2,NFATC1
IONPATHWAY	0.5336152067659095	PLCG1,PTK2B
CDC42RACPATHWAY	0.5503428916067504	ARPC4,ARPC1B,ARPC2,PDGFRA,PIK3R1
PPARAPATHWAY	0.5574754330660332	PDGFA,EHHADH,STAT5B,CITED2,PRKAR2A,PRKACB,MYC,NRIP1,NCOA1,CD36,NFKBIA,HSPA1A,MRPL11,PIK3R1,CREBBP,SP1,PRKAR1B,DUT
MCALPAINPATHWAY	0.5622920568513403	TLN1,ITGA1,CXCR3,ITGB1,PXN,PRKAR2A,PRKAR1B,PRKACB
PLCEPATHWAY	0.564041381563102	RAP2B,PRKAR2A,PRKAR1B,PRKACB
CERAMIDEPATHWAY	0.5722660497904448	CYCS,FADD,BAD,RIPK1,MAP3K1,BCL2,MAPK8
NOS1PATHWAY	0.5722660497904448	PRKAR2A,PRKAR1B,CALM3,PPP3CC,PPP3CA,PRKACB,CALM2
MITRPATHWAY	0.582727148314043	MEF2C,MEF2A,HDAC9
RECKPATHWAY	0.582727148314043	MMP9,TIMP2,TIMP1
LYMPHOCYTEPATHWAY	0.582727148314043	ICAM1,ITGA4,ITGB1
PPARGPATHWAY	0.582727148314043	NCOA1,NCOA2,CREBBP
FLUMAZENILPATHWAY	0.582727148314043	GABRA3,PRKCE,SOD1
GCRPATHWAY	0.5840486503189064	ANXA1,NR3C1,GNB1,CALM3,CALM2,PIK3R1
TH1TH2PATHWAY	0.5840486503189064	IL18R1,IL18,CD86,IFNGR2,IFNGR1,CD28
MSPPATHWAY	0.6115415242191787	CSF1,MST1
TERCPATHWAY	0.6115415242191787	SP1,SP3
CIRCADIANPATHWAY	0.6115415242191787	CSNK1E,CLOCK
IL1RPATHWAY	0.6137986151246525	NFKBIA,MYD88,MAP3K1,IL1RAP,CHUK,MAP2K3,MAPK14,MAPK8,IKBKB,MAP3K14
AGPCRPATHWAY	0.6166966244918216	PRKAR2A,GNB1,PRKAR1B,PRKACB
CELL2CELLPATHWAY	0.6166966244918216	ACTN1,PXN,CTNNB1,CSK
ERKPATHWAY	0.6242705814388548	MKNK2,ITGB1,IGF1R,MYC,STAT3,RPS6KA5,RPS6KA1,GNB1,PDGFRA
FASPATHWAY	0.6242705814388548	LMNB1,LMNB2,CASP3,PAK2,CASP7,MAP3K1,CFLAR,FADD,MAPK8
P38MAPKPATHWAY	0.6260112498007336	MEF2C,MEF2A,ATF2,MAP3K1,MYC,CREB1,STAT1,RPS6KA5,PLA2G4A,RIPK1,MAPK14,HSPB1
IGF1PATHWAY	0.6262401077257123	IGF1,PTPN11,FOS,IGF1R,MAPK8,PIK3R1
CHREBPPATHWAY	0.6262401077257123	PRKAG1,PRKAB2,PRKAR2A,GNB1,PRKAR1B,PRKACB
EGFPATHWAY	0.6361392349887255	FOS,MAP3K1,PIK3R1,STAT1,STAT3,PLCG1,JAK1,MAPK8
GLYCOLYSISPATHWAY	0.6415429124724447	TPI1,PGAM1,PGK1
LAIRPATHWAY	0.6434540161361171	SELP,ICAM1,ITGA4,ITGB1,VCAM1
RHOPATHWAY	0.6572878795624348	TLN1,PPP1R12B,PIP5K1B,ARPC4,ARHGAP4,ARPC2,ARHGEF1,ARPC1B,CFL1
LONGEVITYPATHWAY	0.6651990912892581	IGF1,SOD1,IGF1R,PIK3R1
RANKLPATHWAY	0.6651990912892581	FOS,FOSL2,MAPK8,IFNAR1
TOB1PATHWAY	0.6658607080812018	CD3G,CD3D,CD3E,TGFBR2,TGFBR3,CD28
